Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;001  Aguadulce;Africa;1
Ambos sexos;001  Aguadulce;América;..
Ambos sexos;001  Aguadulce;Asia;..
Ambos sexos;001  Aguadulce;Europa;..
Ambos sexos;001  Aguadulce;Resto;..
Ambos sexos;002  Alanís;Africa;1
Ambos sexos;002  Alanís;América;1
Ambos sexos;002  Alanís;Asia;..
Ambos sexos;002  Alanís;Europa;..
Ambos sexos;002  Alanís;Resto;..
Ambos sexos;003  Albaida del Aljarafe;Africa;..
Ambos sexos;003  Albaida del Aljarafe;América;..
Ambos sexos;003  Albaida del Aljarafe;Asia;..
Ambos sexos;003  Albaida del Aljarafe;Europa;1
Ambos sexos;003  Albaida del Aljarafe;Resto;..
Ambos sexos;004  Alcalá de Guadaira;Africa;54
Ambos sexos;004  Alcalá de Guadaira;América;47
Ambos sexos;004  Alcalá de Guadaira;Asia;7
Ambos sexos;004  Alcalá de Guadaira;Europa;103
Ambos sexos;004  Alcalá de Guadaira;Resto;1
Ambos sexos;005  Alcalá del Río;Africa;5
Ambos sexos;005  Alcalá del Río;América;..
Ambos sexos;005  Alcalá del Río;Asia;..
Ambos sexos;005  Alcalá del Río;Europa;4
Ambos sexos;005  Alcalá del Río;Resto;..
Ambos sexos;006  Alcolea del Río;Africa;..
Ambos sexos;006  Alcolea del Río;América;..
Ambos sexos;006  Alcolea del Río;Asia;..
Ambos sexos;006  Alcolea del Río;Europa;2
Ambos sexos;006  Alcolea del Río;Resto;..
Ambos sexos;007  Algaba (La);Africa;8
Ambos sexos;007  Algaba (La);América;..
Ambos sexos;007  Algaba (La);Asia;..
Ambos sexos;007  Algaba (La);Europa;4
Ambos sexos;007  Algaba (La);Resto;..
Ambos sexos;008  Algámitas;Africa;..
Ambos sexos;008  Algámitas;América;..
Ambos sexos;008  Algámitas;Asia;..
Ambos sexos;008  Algámitas;Europa;..
Ambos sexos;008  Algámitas;Resto;..
Ambos sexos;009  Almadén de la Plata;Africa;1
Ambos sexos;009  Almadén de la Plata;América;..
Ambos sexos;009  Almadén de la Plata;Asia;..
Ambos sexos;009  Almadén de la Plata;Europa;..
Ambos sexos;009  Almadén de la Plata;Resto;..
Ambos sexos;010  Almensilla;Africa;9
Ambos sexos;010  Almensilla;América;3
Ambos sexos;010  Almensilla;Asia;..
Ambos sexos;010  Almensilla;Europa;3
Ambos sexos;010  Almensilla;Resto;..
Ambos sexos;011  Arahal;Africa;6
Ambos sexos;011  Arahal;América;5
Ambos sexos;011  Arahal;Asia;..
Ambos sexos;011  Arahal;Europa;3
Ambos sexos;011  Arahal;Resto;..
Ambos sexos;012  Aznalcázar;Africa;..
Ambos sexos;012  Aznalcázar;América;1
Ambos sexos;012  Aznalcázar;Asia;..
Ambos sexos;012  Aznalcázar;Europa;..
Ambos sexos;012  Aznalcázar;Resto;..
Ambos sexos;013  Aznalcóllar;Africa;10
Ambos sexos;013  Aznalcóllar;América;1
Ambos sexos;013  Aznalcóllar;Asia;2
Ambos sexos;013  Aznalcóllar;Europa;9
Ambos sexos;013  Aznalcóllar;Resto;..
Ambos sexos;014  Badolatosa;Africa;..
Ambos sexos;014  Badolatosa;América;..
Ambos sexos;014  Badolatosa;Asia;..
Ambos sexos;014  Badolatosa;Europa;..
Ambos sexos;014  Badolatosa;Resto;..
Ambos sexos;015  Benacazón;Africa;3
Ambos sexos;015  Benacazón;América;..
Ambos sexos;015  Benacazón;Asia;..
Ambos sexos;015  Benacazón;Europa;..
Ambos sexos;015  Benacazón;Resto;..
Ambos sexos;016  Bollullos de la Mitación;Africa;3
Ambos sexos;016  Bollullos de la Mitación;América;4
Ambos sexos;016  Bollullos de la Mitación;Asia;..
Ambos sexos;016  Bollullos de la Mitación;Europa;2
Ambos sexos;016  Bollullos de la Mitación;Resto;..
Ambos sexos;017  Bormujos;Africa;2
Ambos sexos;017  Bormujos;América;8
Ambos sexos;017  Bormujos;Asia;2
Ambos sexos;017  Bormujos;Europa;14
Ambos sexos;017  Bormujos;Resto;1
Ambos sexos;018  Brenes;Africa;11
Ambos sexos;018  Brenes;América;2
Ambos sexos;018  Brenes;Asia;1
Ambos sexos;018  Brenes;Europa;11
Ambos sexos;018  Brenes;Resto;..
Ambos sexos;019  Burguillos;Africa;7
Ambos sexos;019  Burguillos;América;..
Ambos sexos;019  Burguillos;Asia;..
Ambos sexos;019  Burguillos;Europa;2
Ambos sexos;019  Burguillos;Resto;..
Ambos sexos;020  Cabezas de San Juan (Las);Africa;18
Ambos sexos;020  Cabezas de San Juan (Las);América;2
Ambos sexos;020  Cabezas de San Juan (Las);Asia;..
Ambos sexos;020  Cabezas de San Juan (Las);Europa;2
Ambos sexos;020  Cabezas de San Juan (Las);Resto;..
Ambos sexos;021  Camas;Africa;15
Ambos sexos;021  Camas;América;17
Ambos sexos;021  Camas;Asia;1
Ambos sexos;021  Camas;Europa;28
Ambos sexos;021  Camas;Resto;..
Ambos sexos;022  Campana (La);Africa;2
Ambos sexos;022  Campana (La);América;4
Ambos sexos;022  Campana (La);Asia;..
Ambos sexos;022  Campana (La);Europa;19
Ambos sexos;022  Campana (La);Resto;..
Ambos sexos;023  Cantillana;Africa;4
Ambos sexos;023  Cantillana;América;5
Ambos sexos;023  Cantillana;Asia;3
Ambos sexos;023  Cantillana;Europa;8
Ambos sexos;023  Cantillana;Resto;..
Ambos sexos;024  Carmona;Africa;17
Ambos sexos;024  Carmona;América;3
Ambos sexos;024  Carmona;Asia;10
Ambos sexos;024  Carmona;Europa;25
Ambos sexos;024  Carmona;Resto;..
Ambos sexos;025  Carrión de los Céspedes;Africa;3
Ambos sexos;025  Carrión de los Céspedes;América;1
Ambos sexos;025  Carrión de los Céspedes;Asia;..
Ambos sexos;025  Carrión de los Céspedes;Europa;..
Ambos sexos;025  Carrión de los Céspedes;Resto;..
Ambos sexos;026  Casariche;Africa;21
Ambos sexos;026  Casariche;América;..
Ambos sexos;026  Casariche;Asia;..
Ambos sexos;026  Casariche;Europa;2
Ambos sexos;026  Casariche;Resto;..
Ambos sexos;027  Castilblanco de los Arroyos;Africa;2
Ambos sexos;027  Castilblanco de los Arroyos;América;1
Ambos sexos;027  Castilblanco de los Arroyos;Asia;..
Ambos sexos;027  Castilblanco de los Arroyos;Europa;10
Ambos sexos;027  Castilblanco de los Arroyos;Resto;..
Ambos sexos;028  Castilleja de Guzmán;Africa;1
Ambos sexos;028  Castilleja de Guzmán;América;4
Ambos sexos;028  Castilleja de Guzmán;Asia;..
Ambos sexos;028  Castilleja de Guzmán;Europa;6
Ambos sexos;028  Castilleja de Guzmán;Resto;..
Ambos sexos;029  Castilleja de la Cuesta;Africa;5
Ambos sexos;029  Castilleja de la Cuesta;América;13
Ambos sexos;029  Castilleja de la Cuesta;Asia;2
Ambos sexos;029  Castilleja de la Cuesta;Europa;29
Ambos sexos;029  Castilleja de la Cuesta;Resto;..
Ambos sexos;030  Castilleja del Campo;Africa;..
Ambos sexos;030  Castilleja del Campo;América;..
Ambos sexos;030  Castilleja del Campo;Asia;..
Ambos sexos;030  Castilleja del Campo;Europa;..
Ambos sexos;030  Castilleja del Campo;Resto;..
Ambos sexos;031  Castillo de las Guardas (El);Africa;3
Ambos sexos;031  Castillo de las Guardas (El);América;..
Ambos sexos;031  Castillo de las Guardas (El);Asia;..
Ambos sexos;031  Castillo de las Guardas (El);Europa;1
Ambos sexos;031  Castillo de las Guardas (El);Resto;..
Ambos sexos;032  Cazalla de la Sierra;Africa;2
Ambos sexos;032  Cazalla de la Sierra;América;2
Ambos sexos;032  Cazalla de la Sierra;Asia;2
Ambos sexos;032  Cazalla de la Sierra;Europa;18
Ambos sexos;032  Cazalla de la Sierra;Resto;..
Ambos sexos;033  Constantina;Africa;7
Ambos sexos;033  Constantina;América;5
Ambos sexos;033  Constantina;Asia;5
Ambos sexos;033  Constantina;Europa;3
Ambos sexos;033  Constantina;Resto;1
Ambos sexos;034  Coria del Río;Africa;25
Ambos sexos;034  Coria del Río;América;5
Ambos sexos;034  Coria del Río;Asia;..
Ambos sexos;034  Coria del Río;Europa;28
Ambos sexos;034  Coria del Río;Resto;..
Ambos sexos;035  Coripe;Africa;1
Ambos sexos;035  Coripe;América;..
Ambos sexos;035  Coripe;Asia;..
Ambos sexos;035  Coripe;Europa;..
Ambos sexos;035  Coripe;Resto;..
Ambos sexos;036  Coronil (El);Africa;13
Ambos sexos;036  Coronil (El);América;..
Ambos sexos;036  Coronil (El);Asia;1
Ambos sexos;036  Coronil (El);Europa;1
Ambos sexos;036  Coronil (El);Resto;..
Ambos sexos;037  Corrales (Los);Africa;4
Ambos sexos;037  Corrales (Los);América;..
Ambos sexos;037  Corrales (Los);Asia;1
Ambos sexos;037  Corrales (Los);Europa;3
Ambos sexos;037  Corrales (Los);Resto;..
Ambos sexos;038  Dos Hermanas;Africa;78
Ambos sexos;038  Dos Hermanas;América;116
Ambos sexos;038  Dos Hermanas;Asia;28
Ambos sexos;038  Dos Hermanas;Europa;177
Ambos sexos;038  Dos Hermanas;Resto;..
Ambos sexos;039  Écija;Africa;17
Ambos sexos;039  Écija;América;10
Ambos sexos;039  Écija;Asia;2
Ambos sexos;039  Écija;Europa;4
Ambos sexos;039  Écija;Resto;..
Ambos sexos;040  Espartinas;Africa;5
Ambos sexos;040  Espartinas;América;17
Ambos sexos;040  Espartinas;Asia;2
Ambos sexos;040  Espartinas;Europa;21
Ambos sexos;040  Espartinas;Resto;..
Ambos sexos;041  Estepa;Africa;4
Ambos sexos;041  Estepa;América;..
Ambos sexos;041  Estepa;Asia;1
Ambos sexos;041  Estepa;Europa;..
Ambos sexos;041  Estepa;Resto;..
Ambos sexos;042  Fuentes de Andalucía;Africa;11
Ambos sexos;042  Fuentes de Andalucía;América;4
Ambos sexos;042  Fuentes de Andalucía;Asia;1
Ambos sexos;042  Fuentes de Andalucía;Europa;3
Ambos sexos;042  Fuentes de Andalucía;Resto;..
Ambos sexos;043  Garrobo (El);Africa;..
Ambos sexos;043  Garrobo (El);América;..
Ambos sexos;043  Garrobo (El);Asia;..
Ambos sexos;043  Garrobo (El);Europa;..
Ambos sexos;043  Garrobo (El);Resto;..
Ambos sexos;044  Gelves;Africa;2
Ambos sexos;044  Gelves;América;5
Ambos sexos;044  Gelves;Asia;4
Ambos sexos;044  Gelves;Europa;17
Ambos sexos;044  Gelves;Resto;..
Ambos sexos;045  Gerena;Africa;1
Ambos sexos;045  Gerena;América;1
Ambos sexos;045  Gerena;Asia;..
Ambos sexos;045  Gerena;Europa;2
Ambos sexos;045  Gerena;Resto;..
Ambos sexos;046  Gilena;Africa;..
Ambos sexos;046  Gilena;América;..
Ambos sexos;046  Gilena;Asia;..
Ambos sexos;046  Gilena;Europa;1
Ambos sexos;046  Gilena;Resto;..
Ambos sexos;047  Gines;Africa;14
Ambos sexos;047  Gines;América;19
Ambos sexos;047  Gines;Asia;6
Ambos sexos;047  Gines;Europa;27
Ambos sexos;047  Gines;Resto;..
Ambos sexos;048  Guadalcanal;Africa;..
Ambos sexos;048  Guadalcanal;América;1
Ambos sexos;048  Guadalcanal;Asia;..
Ambos sexos;048  Guadalcanal;Europa;..
Ambos sexos;048  Guadalcanal;Resto;..
Ambos sexos;049  Guillena;Africa;8
