Sexo;Municipios;Lugar de nacimiento;Total
Ambos sexos;41001 Aguadulce;Total Unión Europea;4
Ambos sexos;41001 Aguadulce;Alemania;1
Ambos sexos;41001 Aguadulce;Francia;1
Ambos sexos;41001 Aguadulce;Reino Unido;0
Ambos sexos;41001 Aguadulce;Total Africa;5
Ambos sexos;41001 Aguadulce;Marruecos;5
Ambos sexos;41001 Aguadulce;Total América;8
Ambos sexos;41001 Aguadulce;Colombia;5
Ambos sexos;41001 Aguadulce;Ecuador;0
Ambos sexos;41001 Aguadulce;Argentina;0
Ambos sexos;41001 Aguadulce;Total Asia;0
Ambos sexos;41001 Aguadulce;Oceanía;0
Ambos sexos;41002 Alanís;Total Unión Europea;0
Ambos sexos;41002 Alanís;Alemania;0
Ambos sexos;41002 Alanís;Francia;0
Ambos sexos;41002 Alanís;Reino Unido;0
Ambos sexos;41002 Alanís;Total Africa;2
Ambos sexos;41002 Alanís;Marruecos;2
Ambos sexos;41002 Alanís;Total América;1
Ambos sexos;41002 Alanís;Colombia;0
Ambos sexos;41002 Alanís;Ecuador;0
Ambos sexos;41002 Alanís;Argentina;0
Ambos sexos;41002 Alanís;Total Asia;0
Ambos sexos;41002 Alanís;Oceanía;0
Ambos sexos;41003 Albaida del Aljarafe;Total Unión Europea;0
Ambos sexos;41003 Albaida del Aljarafe;Alemania;0
Ambos sexos;41003 Albaida del Aljarafe;Francia;0
Ambos sexos;41003 Albaida del Aljarafe;Reino Unido;0
Ambos sexos;41003 Albaida del Aljarafe;Total Africa;1
Ambos sexos;41003 Albaida del Aljarafe;Marruecos;0
Ambos sexos;41003 Albaida del Aljarafe;Total América;13
Ambos sexos;41003 Albaida del Aljarafe;Colombia;6
Ambos sexos;41003 Albaida del Aljarafe;Ecuador;3
Ambos sexos;41003 Albaida del Aljarafe;Argentina;3
Ambos sexos;41003 Albaida del Aljarafe;Total Asia;0
Ambos sexos;41003 Albaida del Aljarafe;Oceanía;0
Ambos sexos;41004 Alcalá de Guadaira;Total Unión Europea;450
Ambos sexos;41004 Alcalá de Guadaira;Alemania;197
Ambos sexos;41004 Alcalá de Guadaira;Francia;87
Ambos sexos;41004 Alcalá de Guadaira;Reino Unido;26
Ambos sexos;41004 Alcalá de Guadaira;Total Africa;322
Ambos sexos;41004 Alcalá de Guadaira;Marruecos;228
Ambos sexos;41004 Alcalá de Guadaira;Total América;171
Ambos sexos;41004 Alcalá de Guadaira;Colombia;11
Ambos sexos;41004 Alcalá de Guadaira;Ecuador;2
Ambos sexos;41004 Alcalá de Guadaira;Argentina;48
Ambos sexos;41004 Alcalá de Guadaira;Total Asia;106
Ambos sexos;41004 Alcalá de Guadaira;Oceanía;10
Ambos sexos;41005 Alcalá del Río;Total Unión Europea;44
Ambos sexos;41005 Alcalá del Río;Alemania;32
Ambos sexos;41005 Alcalá del Río;Francia;6
Ambos sexos;41005 Alcalá del Río;Reino Unido;0
Ambos sexos;41005 Alcalá del Río;Total Africa;8
Ambos sexos;41005 Alcalá del Río;Marruecos;8
Ambos sexos;41005 Alcalá del Río;Total América;13
Ambos sexos;41005 Alcalá del Río;Colombia;1
Ambos sexos;41005 Alcalá del Río;Ecuador;2
Ambos sexos;41005 Alcalá del Río;Argentina;0
Ambos sexos;41005 Alcalá del Río;Total Asia;1
Ambos sexos;41005 Alcalá del Río;Oceanía;0
Ambos sexos;41006 Alcolea del Río;Total Unión Europea;3
Ambos sexos;41006 Alcolea del Río;Alemania;1
Ambos sexos;41006 Alcolea del Río;Francia;2
Ambos sexos;41006 Alcolea del Río;Reino Unido;0
Ambos sexos;41006 Alcolea del Río;Total Africa;2
Ambos sexos;41006 Alcolea del Río;Marruecos;1
Ambos sexos;41006 Alcolea del Río;Total América;0
Ambos sexos;41006 Alcolea del Río;Colombia;0
Ambos sexos;41006 Alcolea del Río;Ecuador;0
Ambos sexos;41006 Alcolea del Río;Argentina;0
Ambos sexos;41006 Alcolea del Río;Total Asia;0
Ambos sexos;41006 Alcolea del Río;Oceanía;0
Ambos sexos;41007 Algaba (La);Total Unión Europea;37
Ambos sexos;41007 Algaba (La);Alemania;19
Ambos sexos;41007 Algaba (La);Francia;7
Ambos sexos;41007 Algaba (La);Reino Unido;0
Ambos sexos;41007 Algaba (La);Total Africa;27
Ambos sexos;41007 Algaba (La);Marruecos;20
Ambos sexos;41007 Algaba (La);Total América;56
Ambos sexos;41007 Algaba (La);Colombia;11
Ambos sexos;41007 Algaba (La);Ecuador;25
Ambos sexos;41007 Algaba (La);Argentina;2
Ambos sexos;41007 Algaba (La);Total Asia;1
Ambos sexos;41007 Algaba (La);Oceanía;0
Ambos sexos;41008 Algámitas;Total Unión Europea;3
Ambos sexos;41008 Algámitas;Alemania;0
Ambos sexos;41008 Algámitas;Francia;2
Ambos sexos;41008 Algámitas;Reino Unido;0
Ambos sexos;41008 Algámitas;Total Africa;4
Ambos sexos;41008 Algámitas;Marruecos;4
Ambos sexos;41008 Algámitas;Total América;0
Ambos sexos;41008 Algámitas;Colombia;0
Ambos sexos;41008 Algámitas;Ecuador;0
Ambos sexos;41008 Algámitas;Argentina;0
Ambos sexos;41008 Algámitas;Total Asia;0
Ambos sexos;41008 Algámitas;Oceanía;0
Ambos sexos;41009 Almadén de la Plata;Total Unión Europea;4
Ambos sexos;41009 Almadén de la Plata;Alemania;0
Ambos sexos;41009 Almadén de la Plata;Francia;0
Ambos sexos;41009 Almadén de la Plata;Reino Unido;4
Ambos sexos;41009 Almadén de la Plata;Total Africa;4
Ambos sexos;41009 Almadén de la Plata;Marruecos;1
Ambos sexos;41009 Almadén de la Plata;Total América;2
Ambos sexos;41009 Almadén de la Plata;Colombia;0
Ambos sexos;41009 Almadén de la Plata;Ecuador;0
Ambos sexos;41009 Almadén de la Plata;Argentina;0
Ambos sexos;41009 Almadén de la Plata;Total Asia;0
Ambos sexos;41009 Almadén de la Plata;Oceanía;0
Ambos sexos;41010 Almensilla;Total Unión Europea;43
Ambos sexos;41010 Almensilla;Alemania;14
Ambos sexos;41010 Almensilla;Francia;19
Ambos sexos;41010 Almensilla;Reino Unido;2
Ambos sexos;41010 Almensilla;Total Africa;13
Ambos sexos;41010 Almensilla;Marruecos;6
Ambos sexos;41010 Almensilla;Total América;31
Ambos sexos;41010 Almensilla;Colombia;7
Ambos sexos;41010 Almensilla;Ecuador;1
Ambos sexos;41010 Almensilla;Argentina;4
Ambos sexos;41010 Almensilla;Total Asia;1
Ambos sexos;41010 Almensilla;Oceanía;0
Ambos sexos;41011 Arahal;Total Unión Europea;37
Ambos sexos;41011 Arahal;Alemania;16
Ambos sexos;41011 Arahal;Francia;12
Ambos sexos;41011 Arahal;Reino Unido;0
Ambos sexos;41011 Arahal;Total Africa;51
Ambos sexos;41011 Arahal;Marruecos;43
Ambos sexos;41011 Arahal;Total América;55
Ambos sexos;41011 Arahal;Colombia;37
Ambos sexos;41011 Arahal;Ecuador;1
Ambos sexos;41011 Arahal;Argentina;6
Ambos sexos;41011 Arahal;Total Asia;1
Ambos sexos;41011 Arahal;Oceanía;1
Ambos sexos;41012 Aznalcázar;Total Unión Europea;18
Ambos sexos;41012 Aznalcázar;Alemania;2
Ambos sexos;41012 Aznalcázar;Francia;1
Ambos sexos;41012 Aznalcázar;Reino Unido;3
Ambos sexos;41012 Aznalcázar;Total Africa;14
Ambos sexos;41012 Aznalcázar;Marruecos;12
Ambos sexos;41012 Aznalcázar;Total América;15
Ambos sexos;41012 Aznalcázar;Colombia;0
Ambos sexos;41012 Aznalcázar;Ecuador;6
Ambos sexos;41012 Aznalcázar;Argentina;0
Ambos sexos;41012 Aznalcázar;Total Asia;1
Ambos sexos;41012 Aznalcázar;Oceanía;0
Ambos sexos;41013 Aznalcóllar;Total Unión Europea;12
Ambos sexos;41013 Aznalcóllar;Alemania;1
Ambos sexos;41013 Aznalcóllar;Francia;6
Ambos sexos;41013 Aznalcóllar;Reino Unido;3
Ambos sexos;41013 Aznalcóllar;Total Africa;12
Ambos sexos;41013 Aznalcóllar;Marruecos;12
Ambos sexos;41013 Aznalcóllar;Total América;14
Ambos sexos;41013 Aznalcóllar;Colombia;0
Ambos sexos;41013 Aznalcóllar;Ecuador;6
Ambos sexos;41013 Aznalcóllar;Argentina;1
Ambos sexos;41013 Aznalcóllar;Total Asia;0
Ambos sexos;41013 Aznalcóllar;Oceanía;0
Ambos sexos;41014 Badolatosa;Total Unión Europea;4
Ambos sexos;41014 Badolatosa;Alemania;1
Ambos sexos;41014 Badolatosa;Francia;3
Ambos sexos;41014 Badolatosa;Reino Unido;0
Ambos sexos;41014 Badolatosa;Total Africa;0
Ambos sexos;41014 Badolatosa;Marruecos;0
Ambos sexos;41014 Badolatosa;Total América;10
Ambos sexos;41014 Badolatosa;Colombia;5
Ambos sexos;41014 Badolatosa;Ecuador;4
Ambos sexos;41014 Badolatosa;Argentina;1
Ambos sexos;41014 Badolatosa;Total Asia;1
Ambos sexos;41014 Badolatosa;Oceanía;0
Ambos sexos;41015 Benacazón;Total Unión Europea;13
Ambos sexos;41015 Benacazón;Alemania;4
Ambos sexos;41015 Benacazón;Francia;2
Ambos sexos;41015 Benacazón;Reino Unido;3
Ambos sexos;41015 Benacazón;Total Africa;28
Ambos sexos;41015 Benacazón;Marruecos;23
Ambos sexos;41015 Benacazón;Total América;30
Ambos sexos;41015 Benacazón;Colombia;12
Ambos sexos;41015 Benacazón;Ecuador;17
Ambos sexos;41015 Benacazón;Argentina;0
Ambos sexos;41015 Benacazón;Total Asia;0
Ambos sexos;41015 Benacazón;Oceanía;1
Ambos sexos;41016 Bollullos de la Mitación;Total Unión Europea;24
Ambos sexos;41016 Bollullos de la Mitación;Alemania;3
Ambos sexos;41016 Bollullos de la Mitación;Francia;3
