Municipios;Sexo;Periodo;Total
21001 Alájar;Total;2019;756
21001 Alájar;Total;2018;763
21001 Alájar;Total;2017;777
21001 Alájar;Total;2016;814
21001 Alájar;Total;2015;813
21001 Alájar;Total;2014;798
21001 Alájar;Total;2013;805
21001 Alájar;Total;2012;803
21001 Alájar;Total;2011;798
21001 Alájar;Total;2010;806
21001 Alájar;Total;2009;808
21001 Alájar;Total;2008;802
21001 Alájar;Total;2007;811
21001 Alájar;Total;2006;821
21001 Alájar;Total;2005;771
21001 Alájar;Total;2004;750
21001 Alájar;Total;2003;769
21001 Alájar;Total;2002;781
21001 Alájar;Total;2001;789
21001 Alájar;Total;2000;776
21001 Alájar;Total;1999;794
21001 Alájar;Total;1998;774
21002 Aljaraque;Total;2019;21260
21002 Aljaraque;Total;2018;21054
21002 Aljaraque;Total;2017;20836
21002 Aljaraque;Total;2016;20745
21002 Aljaraque;Total;2015;20357
21002 Aljaraque;Total;2014;19857
21002 Aljaraque;Total;2013;19492
21002 Aljaraque;Total;2012;19245
21002 Aljaraque;Total;2011;18937
21002 Aljaraque;Total;2010;18443
21002 Aljaraque;Total;2009;17960
21002 Aljaraque;Total;2008;17194
21002 Aljaraque;Total;2007;16368
21002 Aljaraque;Total;2006;15617
21002 Aljaraque;Total;2005;14846
21002 Aljaraque;Total;2004;14060
21002 Aljaraque;Total;2003;13009
21002 Aljaraque;Total;2002;12303
21002 Aljaraque;Total;2001;11626
21002 Aljaraque;Total;2000;10806
21002 Aljaraque;Total;1999;10298
21002 Aljaraque;Total;1998;9743
21003 El Almendro;Total;2019;826
21003 El Almendro;Total;2018;837
21003 El Almendro;Total;2017;839
21003 El Almendro;Total;2016;838
21003 El Almendro;Total;2015;829
21003 El Almendro;Total;2014;846
21003 El Almendro;Total;2013;847
21003 El Almendro;Total;2012;859
21003 El Almendro;Total;2011;870
21003 El Almendro;Total;2010;879
21003 El Almendro;Total;2009;867
21003 El Almendro;Total;2008;860
21003 El Almendro;Total;2007;845
21003 El Almendro;Total;2006;847
21003 El Almendro;Total;2005;831
21003 El Almendro;Total;2004;834
21003 El Almendro;Total;2003;841
21003 El Almendro;Total;2002;823
21003 El Almendro;Total;2001;851
21003 El Almendro;Total;2000;864
21003 El Almendro;Total;1999;874
21003 El Almendro;Total;1998;880
21004 Almonaster la Real;Total;2019;1819
21004 Almonaster la Real;Total;2018;1837
21004 Almonaster la Real;Total;2017;1848
