Provincia,Nacionalidad,Año,Total
Almería,Total,2019,6812.0
Almería,Total,2018,7234.0
Almería,Total,2017,6900.0
Almería,Total,2016,6202.0
Almería,Total,2015,4944.0
Almería,Total,2014,4763.0
Almería,Total,2013,4766.0
Almería,España,2019,4542.0
Almería,España,2018,4923.0
Almería,España,2017,4911.0
Almería,España,2016,4312.0
Almería,España,2015,3433.0
Almería,España,2014,3273.0
Almería,España,2013,3154.0
Almería,Unión Europea,2019,649.0
Almería,Unión Europea,2018,725.0
Almería,Unión Europea,2017,630.0
Almería,Unión Europea,2016,654.0
Almería,Unión Europea,2015,538.0
Almería,Unión Europea,2014,517.0
Almería,Unión Europea,2013,508.0
Almería,Resto de Europa,2019,104.0
Almería,Resto de Europa,2018,71.0
Almería,Resto de Europa,2017,119.0
Almería,Resto de Europa,2016,56.0
Almería,Resto de Europa,2015,53.0
Almería,Resto de Europa,2014,41.0
Almería,Resto de Europa,2013,24.0
Almería,África,2019,1187.0
Almería,África,2018,1168.0
Almería,África,2017,994.0
Almería,África,2016,924.0
Almería,África,2015,671.0
Almería,África,2014,680.0
Almería,África,2013,773.0
Almería,América,2019,324.0
Almería,América,2018,327.0
Almería,América,2017,221.0
Almería,América,2016,242.0
Almería,América,2015,241.0
Almería,América,2014,236.0
Almería,América,2013,293.0
Almería,Asia,2019,6.0
Almería,Asia,2018,20.0
Almería,Asia,2017,25.0
Almería,Asia,2016,15.0
Almería,Asia,2015,7.0
Almería,Asia,2014,16.0
Almería,Asia,2013,12.0
Almería,Oceanía,2019,0.0
Almería,Oceanía,2018,0.0
Almería,Oceanía,2017,0.0
Almería,Oceanía,2016,0.0
Almería,Oceanía,2015,1.0
Almería,Oceanía,2014,0.0
Almería,Oceanía,2013,2.0
Cádiz,Total,2019,12585.0
Cádiz,Total,2018,13267.0
Cádiz,Total,2017,12998.0
Cádiz,Total,2016,12401.0
Cádiz,Total,2015,10292.0
Cádiz,Total,2014,10221.0
Cádiz,Total,2013,10652.0
Cádiz,España,2019,11280.0
Cádiz,España,2018,11940.0
Cádiz,España,2017,11765.0
Cádiz,España,2016,11005.0
Cádiz,España,2015,9003.0
Cádiz,España,2014,8812.0
Cádiz,España,2013,9032.0
Cádiz,Unión Europea,2019,344.0
Cádiz,Unión Europea,2018,415.0
Cádiz,Unión Europea,2017,320.0
Cádiz,Unión Europea,2016,399.0
Cádiz,Unión Europea,2015,317.0
Cádiz,Unión Europea,2014,397.0
Cádiz,Unión Europea,2013,540.0
Cádiz,Resto de Europa,2019,24.0
Cádiz,Resto de Europa,2018,24.0
Cádiz,Resto de Europa,2017,23.0
Cádiz,Resto de Europa,2016,7.0
Cádiz,Resto de Europa,2015,23.0
Cádiz,Resto de Europa,2014,20.0
Cádiz,Resto de Europa,2013,10.0
Cádiz,África,2019,732.0
Cádiz,África,2018,707.0
Cádiz,África,2017,700.0
Cádiz,África,2016,782.0
Cádiz,África,2015,764.0
Cádiz,África,2014,790.0
Cádiz,África,2013,861.0
Cádiz,América,2019,192.0
Cádiz,América,2018,163.0
Cádiz,América,2017,167.0
Cádiz,América,2016,163.0
Cádiz,América,2015,171.0
Cádiz,América,2014,187.0
Cádiz,América,2013,194.0
Cádiz,Asia,2019,11.0
Cádiz,Asia,2018,19.0
Cádiz,Asia,2017,23.0
Cádiz,Asia,2016,37.0
Cádiz,Asia,2015,13.0
Cádiz,Asia,2014,14.0
Cádiz,Asia,2013,13.0
Cádiz,Oceanía,2019,2.0
Cádiz,Oceanía,2018,0.0
Cádiz,Oceanía,2017,0.0
Cádiz,Oceanía,2016,7.0
Cádiz,Oceanía,2015,1.0
