,Provincia,variable,value,id,Diferencia
0,Almería,1977,38.34,04,-23.31
1,Cádiz,1977,60.17,11,21.92
2,Córdoba,1977,56.21,14,12.88
3,Granada,1977,48.17,18,-3.67
4,Huelva,1977,45.7,21,-8.60
5,Jaén,1977,54.76,23,9.5
6,Málaga,1977,63.52,29,27.38
7,Sevilla,1977,59.33,41,18.66
8,Almería,1979,47.72,04,-2.69
9,Cádiz,1979,61.23,11,27.23
10,Córdoba,1979,60.35,14,22.55
11,Granada,1979,55.56,18,12.94
12,Huelva,1979,53.49,21,11.03
13,Jaén,1979,58.8,23,18.56
14,Málaga,1979,62.36,29,27.48
15,Sevilla,1979,60.85,41,26.97
16,Almería,1982,62.3,04,24.91
17,Cádiz,1982,72.68,11,45.58
18,Córdoba,1982,69.88,14,39.92
19,Granada,1982,66.34,18,32.81
20,Huelva,1982,69.34,21,38.80
21,Jaén,1982,66.3,23,32.65
22,Málaga,1982,70.65,29,41.46
23,Sevilla,1982,72.84,41,45.86
24,Almería,1986,61.86,04,23.94
25,Cádiz,1986,73.33,11,46.88
26,Córdoba,1986,70.5,14,41.12
27,Granada,1986,65.52,18,31.19
28,Huelva,1986,71.57,21,43.36
29,Jaén,1986,66.71,23,33.52
30,Málaga,1986,70.65,29,41.49
31,Sevilla,1986,74.25,41,48.62
32,Almería,1989,65.59,04,31.18
33,Cádiz,1989,75.64,11,51.3
34,Córdoba,1989,74.73,14,50.11
35,Granada,1989,66.73,18,34.39
36,Huelva,1989,73.95,21,47.90
37,Jaén,1989,69.97,23,39.94
38,Málaga,1989,73.33,29,46.64
39,Sevilla,1989,77.46,41,54.91
40,Almería,1993,59.8,04,20.18
41,Cádiz,1993,69.68,11,40.04
42,Córdoba,1993,70.53,14,41.41
43,Granada,1993,62.84,18,26.52
44,Huelva,1993,69.14,21,38.37
45,Jaén,1993,65.81,23,32.05
46,Málaga,1993,65.63,29,32.04
47,Sevilla,1993,72.37,41,45.37
48,Almería,1996,59.26,04,18.65
49,Cádiz,1996,63.99,11,28.14
50,Córdoba,1996,66.59,14,33.24
51,Granada,1996,61.12,18,22.30
52,Huelva,1996,65.69,21,31.46
53,Jaén,1996,62.69,23,25.44
54,Málaga,1996,60.78,29,21.66
55,Sevilla,1996,68.02,41,36.10
56,Almería,2000,50.18,04,0.60
57,Cádiz,2000,56.91,11,14.37
58,Córdoba,2000,58.23,14,16.59
59,Granada,2000,56.24,18,12.63
60,Huelva,2000,59.01,21,18.21
61,Jaén,2000,59.0,23,18.13
62,Málaga,2000,53.78,29,7.82
63,Sevilla,2000,63.99,41,28.08
64,Almería,2004,54.61,04,9.33
65,Cádiz,2004,65.14,11,30.55
66,Córdoba,2004,65.11,14,30.44
67,Granada,2004,61.8,18,23.80
68,Huelva,2004,68.56,21,37.3
69,Jaén,2004,65.12,23,30.37
70,Málaga,2004,62.24,29,24.71
71,Sevilla,2004,70.94,41,42.19
72,Almería,2008,46.35,04,-6.74
73,Cádiz,2008,60.48,11,21.58
74,Córdoba,2008,61.28,14,22.95
75,Granada,2008,57.82,18,16.1
76,Huelva,2008,63.81,21,28.17
77,Jaén,2008,62.6,23,25.61
78,Málaga,2008,55.71,29,11.90
79,Sevilla,2008,67.64,41,35.58
80,Almería,2011,41.52,04,-16.89
81,Cádiz,2011,51.61,11,3.89
82,Córdoba,2011,54.22,14,8.87
83,Granada,2011,52.51,18,5.28
84,Huelva,2011,55.09,21,10.52
85,Jaén,2011,52.76,23,6.85
86,Málaga,2011,49.3,29,-0.94
87,Sevilla,2011,60.4,41,21.11
88,Almería,2015,46.97,04,-6.06
89,Cádiz,2015,56.83,11,13.73
90,Córdoba,2015,57.03,14,14.19
91,Granada,2015,54.47,18,8.93
92,Huelva,2015,58.79,21,17.58
93,Jaén,2015,57.04,23,14.08
94,Málaga,2015,53.37,29,6.77
95,Sevilla,2015,61.03,41,22.13
96,Almería,2016,42.57,04,-14.73
97,Cádiz,2016,52.54,11,5.12
98,Córdoba,2016,52.39,14,4.91
99,Granada,2016,50.69,18,1.38
100,Huelva,2016,54.35,21,8.71
101,Jaén,2016,53.4,23,6.80
102,Málaga,2016,48.67,29,-2.65
103,Sevilla,2016,56.91,41,13.83
104,Almería,2019,40.27,04,-18.55
105,Cádiz,2019,51.06,11,3.35
106,Córdoba,2019,51.07,14,3.32
107,Granada,2019,49.21,18,-0.71
108,Huelva,2019,52.1,21,5.30
109,Jaén,2019,51.42,23,3.51
110,Málaga,2019,47.9,29,-3.31
111,Sevilla,2019,55.58,41,12.17
112,Almería,201911,39.1,04,-21.61
113,Cádiz,201911,50.89,11,1.78
114,Córdoba,201911,50.0,14,0.17
115,Granada,201911,49.25,18,-1.51
116,Huelva,201911,51.29,21,2.57
117,Jaén,201911,50.54,23,1.08
118,Málaga,201911,47.49,29,-5.02
119,Sevilla,201911,55.71,41,11.42
