Municipios,Año,Resultado Izquierda,Resultado Derecha,Diferencia
Abla,1982,33.45,66.54,-33.09
Abrucena,1982,63.5,36.49,27.01
Adra,1982,58.08,41.92,16.16
Albánchez,1982,38.4,61.61,-23.21
Alboloduy,1982,37.11,62.89,-25.78
Albox,1982,42.01,58.0,-15.99
Alcolea,1982,58.96,41.05,17.91
Alcóntar,1982,36.43,63.57,-27.14
Alcudia de Monteagud,1982,29.92,70.08,-40.16
Alhabia,1982,63.16,36.85,26.31
Alhama de Almería,1982,80.76,19.24,61.52
Alicún,1982,40.56,59.45,-18.89
Almería,1982,64.02,35.98,28.04
Almócita,1982,24.27,75.72,-51.45
Alsodux,1982,41.98,58.03,-16.05
Antas,1982,62.45,37.55,24.9
Arboleas,1982,42.25,57.76,-15.51
Armuña de Almanzora,1982,36.95,63.04,-26.09
Bacares,1982,76.03,23.96,52.07
Bayárcal,1982,41.92,58.08,-16.16
Bayarque,1982,58.82,41.18,17.64
Bédar,1982,55.16,44.84,10.32
Beires,1982,44.83,55.17,-10.34
Benahadux,1982,76.85,23.15,53.7
Benitagla,1982,11.11,88.89,-77.78
Benizalón,1982,45.83,54.17,-8.34
Bentarique,1982,75.13,24.86,50.27
Berja,1982,59.12,40.88,18.24
Canjáyar,1982,49.58,50.41,-0.83
Cantoria,1982,42.62,57.37,-14.75
Carboneras,1982,69.05,30.96,38.09
Castro de Filabres,1982,42.67,57.33,-14.66
Chercos,1982,54.25,45.75,8.5
Chirivel,1982,62.57,37.45,25.12
Cóbdar,1982,58.47,41.53,16.94
Cuevas del Almanzora,1982,66.17,33.83,32.34
Dalías,1982,62.31,37.69,24.62
Enix,1982,46.01,53.99,-7.98
Felix,1982,66.67,33.34,33.33
Fines,1982,79.55,20.45,59.1
Fiñana,1982,59.04,40.97,18.07
Fondón,1982,36.09,63.92,-27.83
Gádor,1982,55.28,44.72,10.56
Los Gallardos,1982,58.74,41.26,17.48
Garrucha,1982,42.31,57.69,-15.38
Gérgal,1982,34.4,65.6,-31.2
Huécija,1982,55.09,44.91,10.18
Huércal de Almería,1982,77.25,22.75,54.5
Huércal-Overa,1982,46.14,53.87,-7.73
Illar,1982,61.61,38.38,23.23
Instinción,1982,59.78,40.23,19.55
Laroya,1982,38.45,61.53,-23.08
Láujar de Andarax,1982,50.66,49.34,1.32
Líjar,1982,55.3,44.71,10.59
Lubrín,1982,60.09,39.92,20.17
Lucainena de las Torres,1982,41.93,58.07,-16.14
Lúcar,1982,23.98,76.03,-52.05
Macael,1982,56.06,43.94,12.12
María,1982,58.27,41.74,16.53
Mojácar,1982,41.2,58.8,-17.6
Nacimiento,1982,35.52,64.49,-28.97
Níjar,1982,67.01,33.0,34.01
Ohanes,1982,72.3,27.7,44.6
Olula de Castro,1982,53.26,46.75,6.51
Olula del Río,1982,54.56,45.43,9.13
Oria,1982,27.18,72.83,-45.65
Padules,1982,53.47,46.53,6.94
Partaloa,1982,24.15,75.84,-51.69
Paterna del Río,1982,7.41,92.59,-85.18
Pechina,1982,68.22,31.76,36.46
Pulpí,1982,71.21,28.79,42.42
Purchena,1982,40.15,59.84,-19.69
Rágol,1982,43.29,56.72,-13.43
Rioja,1982,79.82,20.17,59.65
Roquetas de Mar,1982,58.9,41.11,17.79
Santa Cruz de Marchena,1982,29.87,70.14,-40.27
Santa Fe de Mondújar,1982,71.96,28.04,43.92
Senés,1982,43.07,56.92,-13.85
Serón,1982,57.13,42.87,14.26
Sierro,1982,43.84,56.17,-12.33
Somontín,1982,25.41,74.61,-49.2
Sorbas,1982,38.54,61.45,-22.91
Suflí,1982,19.26,80.74,-61.48
Tabernas,1982,60.43,39.57,20.86
Taberno,1982,25.18,74.83,-49.65
Tahal,1982,29.63,70.37,-40.74
Terque,1982,52.89,47.1,5.79
Las Tres Villas,1982,39.76,60.24,-20.48
Urrácal,1982,15.6,84.39,-68.79
Velefique,1982,50.5,49.51,0.99
Vera,1982,70.72,29.27,41.45
Viator,1982,67.75,32.24,35.51
Vícar,1982,57.41,42.59,14.82
Zurgena,1982,46.63,53.36,-6.73
Alcalá de los Gazules,1982,69.95,30.07,39.88
