Provincia,Municipios,Población,Resultado Izquierda,Resultado Derecha,Diferencia,Fecha,Mes,Año
Almería,Abla,1755,9.8,90.2,-80.4,197706,06,1977
Almería,Abrucena,1828,23.78,76.11,-52.33,197706,06,1977
Almería,Adra,15602,39.58,60.26,-20.68,197706,06,1977
Almería,Albánchez,1058,20.65,78.84,-58.19,197706,06,1977
Almería,Alboloduy,1082,15.98,84.02,-68.04,197706,06,1977
Almería,Albox,10407,20.56,79.3,-58.74,197706,06,1977
Almería,Alcolea,1267,22.33,77.67,-55.34,197706,06,1977
Almería,Alcóntar,935,14.03,85.97,-71.94,197706,06,1977
Almería,Alcudia de Monteagud,281,15.69,84.31,-68.62,197706,06,1977
Almería,Alhabia,1173,44.68,54.94,-10.26,197706,06,1977
Almería,Alhama de Almería,2877,73.37,26.63,46.74,197706,06,1977
Almería,Alicún,248,15.79,84.21,-68.42,197706,06,1977
Almería,Almería,120072,51.4,48.36,3.04,197706,06,1977
Almería,Almócita,284,9.76,90.24,-80.48,197706,06,1977
Almería,Alsodux,172,29.0,71.0,-42.0,197706,06,1977
Almería,Antas,2426,28.78,70.45,-41.67,197706,06,1977
Almería,Arboleas,1695,19.36,80.41,-61.05,197706,06,1977
Almería,Armuña de Almanzora,403,22.94,77.06,-54.12,197706,06,1977
Almería,Bacares,459,31.72,68.28,-36.56,197706,06,1977
Almería,Bayárcal,582,11.61,87.27,-75.66,197706,06,1977
Almería,Bayarque,335,38.65,61.35,-22.7,197706,06,1977
Almería,Bédar,717,48.98,51.02,-2.04,197706,06,1977
Almería,Beires,243,38.16,61.84,-23.68,197706,06,1977
Almería,Benahadux,1666,70.17,29.83,40.34,197706,06,1977
Almería,Benitagla,126,13.25,86.75,-73.5,197706,06,1977
Almería,Benizalón,506,25.86,74.14,-48.28,197706,06,1977
Almería,Bentarique,381,54.55,45.02,9.53,197706,06,1977
Almería,Berja,12006,40.18,59.65,-19.47,197706,06,1977
Almería,Canjáyar,2508,46.75,53.1,-6.35,197706,06,1977
Almería,Cantoria,3754,32.15,67.75,-35.6,197706,06,1977
Almería,Carboneras,3183,27.38,72.55,-45.17,197706,06,1977
Almería,Castro de Filabres,255,15.5,84.5,-69.0,197706,06,1977
Almería,Cóbdar,600,19.46,80.54,-61.08,197706,06,1977
Almería,Cuevas del Almanzora,7777,40.23,59.62,-19.39,197706,06,1977
Almería,Chercos,532,37.45,62.55,-25.1,197706,06,1977
Almería,Chirivel,2340,23.58,76.34,-52.76,197706,06,1977
Almería,Dalías,25586,38.19,61.6,-23.41,197706,06,1977
Almería,Las Tres Villas,649,18.87,81.13,-62.26,197706,06,1977
Almería,Enix,509,22.73,77.27,-54.54,197706,06,1977
Almería,Felix,3631,30.89,69.11,-38.22,197706,06,1977
Almería,Fines,1538,64.76,35.1,29.66,197706,06,1977
Almería,Fiñana,3263,34.9,64.58,-29.68,197706,06,1977
Almería,Fondón,1424,15.43,84.57,-69.14,197706,06,1977
Almería,Gádor,2717,39.08,60.85,-21.77,197706,06,1977
Almería,Los Gallardos,1519,50.07,49.93,0.14,197706,06,1977
Almería,Garrucha,3081,25.06,74.55,-49.49,197706,06,1977
Almería,Gérgal,1591,34.72,65.15,-30.43,197706,06,1977
Almería,Huécija,598,17.91,81.49,-63.58,197706,06,1977
Almería,Huércal de Almería,3150,70.63,29.31,41.32,197706,06,1977
Almería,Huércal-Overa,12458,16.45,83.31,-66.86,197706,06,1977
Almería,Illar,606,20.58,79.42,-58.84,197706,06,1977
Almería,Instinción,774,50.11,49.89,0.22,197706,06,1977
Almería,Laroya,292,15.11,84.89,-69.78,197706,06,1977
Almería,Láujar de Andarax,2094,22.19,77.31,-55.12,197706,06,1977
Almería,Líjar,625,37.12,62.88,-25.76,197706,06,1977
Almería,Lubrín,2923,35.08,64.61,-29.53,197706,06,1977
Almería,Lucainena de las Torres,923,10.0,90.0,-80.0,197706,06,1977
Almería,Lúcar,878,15.29,84.71,-69.42,197706,06,1977
Almería,Macael,5538,43.51,56.31,-12.8,197706,06,1977
Almería,María,2002,23.27,76.14,-52.87,197706,06,1977
Almería,Mojácar,1673,34.74,64.87,-30.13,197706,06,1977
Almería,Nacimiento,831,18.74,80.61,-61.87,197706,06,1977
Almería,Níjar,12390,26.98,72.76,-45.78,197706,06,1977
Almería,Ohanes,1212,28.39,71.45,-43.06,197706,06,1977
Almería,Olula de Castro,445,31.94,67.59,-35.65,197706,06,1977
Almería,Olula del Río,4845,36.32,63.53,-27.21,197706,06,1977
Almería,Oria,3302,3.11,96.83,-93.72,197706,06,1977
Almería,Padules,774,35.75,64.25,-28.5,197706,06,1977
