Municipios,Origen,Total,Año,Provincia
Abla,Africa,0.06596306068601583,1998,Almería
Abla,América,0.0,1998,Almería
Abla,Asia,0.0,1998,Almería
Abla,Europa,0.0,1998,Almería
Abla,Oceanía,0.0,1998,Almería
Abrucena,Africa,0.0,1998,Almería
Abrucena,América,0.0,1998,Almería
Abrucena,Asia,0.0,1998,Almería
Abrucena,Europa,0.0,1998,Almería
Abrucena,Oceanía,0.0,1998,Almería
Adra,Africa,1.089645984012181,1998,Almería
Adra,América,0.07137419109250095,1998,Almería
Adra,Asia,0.03806623524933384,1998,Almería
Adra,Europa,0.26170536733917016,1998,Almería
Adra,Oceanía,0.0,1998,Almería
Albánchez,Africa,0.0,1998,Almería
Albánchez,América,0.0,1998,Almería
Albánchez,Asia,0.0,1998,Almería
Albánchez,Europa,0.0,1998,Almería
Albánchez,Oceanía,0.0,1998,Almería
Alboloduy,Africa,0.0,1998,Almería
Alboloduy,América,0.0,1998,Almería
Alboloduy,Asia,0.0,1998,Almería
Alboloduy,Europa,0.12300123001230012,1998,Almería
Alboloduy,Oceanía,0.0,1998,Almería
Albox,Africa,0.010558547143912998,1998,Almería
Albox,América,0.021117094287825995,1998,Almería
Albox,Asia,0.0,1998,Almería
Albox,Europa,0.09502692429521697,1998,Almería
Albox,Oceanía,0.0,1998,Almería
Alcolea,Africa,0.0,1998,Almería
Alcolea,América,0.11778563015312131,1998,Almería
Alcolea,Asia,0.0,1998,Almería
Alcolea,Europa,0.0,1998,Almería
Alcolea,Oceanía,0.0,1998,Almería
Alcóntar,Africa,0.0,1998,Almería
Alcóntar,América,0.0,1998,Almería
Alcóntar,Asia,0.0,1998,Almería
Alcóntar,Europa,0.0,1998,Almería
Alcóntar,Oceanía,0.0,1998,Almería
Alcudia de Monteagud,Africa,0.0,1998,Almería
Alcudia de Monteagud,América,0.0,1998,Almería
Alcudia de Monteagud,Asia,0.0,1998,Almería
Alcudia de Monteagud,Europa,0.0,1998,Almería
Alcudia de Monteagud,Oceanía,0.0,1998,Almería
Alhabia,Africa,0.0,1998,Almería
Alhabia,América,0.0,1998,Almería
Alhabia,Asia,0.0,1998,Almería
Alhabia,Europa,0.0,1998,Almería
Alhabia,Oceanía,0.0,1998,Almería
Alhama de Almería,Africa,0.0,1998,Almería
Alhama de Almería,América,0.12857602057216327,1998,Almería
Alhama de Almería,Asia,0.03214400514304082,1998,Almería
Alhama de Almería,Europa,0.03214400514304082,1998,Almería
Alhama de Almería,Oceanía,0.0,1998,Almería
Alicún,Africa,0.0,1998,Almería
Alicún,América,0.0,1998,Almería
Alicún,Asia,0.0,1998,Almería
Alicún,Europa,0.8163265306122449,1998,Almería
Alicún,Oceanía,0.0,1998,Almería
Almería,Africa,0.4249367653622973,1998,Almería
Almería,América,0.1916381490849576,1998,Almería
Almería,Asia,0.0648712989138521,1998,Almería
Almería,Europa,0.24936765362297275,1998,Almería
Almería,Oceanía,0.0011902990626394881,1998,Almería
Almócita,Africa,0.0,1998,Almería
Almócita,América,0.0,1998,Almería
Almócita,Asia,0.0,1998,Almería
Almócita,Europa,0.0,1998,Almería
Almócita,Oceanía,0.0,1998,Almería
Alsodux,Africa,0.0,1998,Almería
Alsodux,América,0.0,1998,Almería
Alsodux,Asia,0.0,1998,Almería
Alsodux,Europa,0.0,1998,Almería
Alsodux,Oceanía,0.0,1998,Almería
Antas,Africa,0.037509377344336084,1998,Almería
Antas,América,0.07501875468867217,1998,Almería
Antas,Asia,0.0,1998,Almería
Antas,Europa,0.11252813203300824,1998,Almería
Antas,Oceanía,0.0,1998,Almería
Arboleas,Africa,0.0,1998,Almería
Arboleas,América,0.19480519480519481,1998,Almería
Arboleas,Asia,0.0,1998,Almería
Arboleas,Europa,0.974025974025974,1998,Almería
Arboleas,Oceanía,0.0,1998,Almería
Armuña de Almanzora,Africa,0.0,1998,Almería
Armuña de Almanzora,América,0.0,1998,Almería
Armuña de Almanzora,Asia,0.0,1998,Almería
Armuña de Almanzora,Europa,0.0,1998,Almería
Armuña de Almanzora,Oceanía,0.0,1998,Almería
Bacares,Africa,0.0,1998,Almería
Bacares,América,0.0,1998,Almería
Bacares,Asia,0.0,1998,Almería
Bacares,Europa,0.0,1998,Almería
Bacares,Oceanía,0.0,1998,Almería
Bayárcal,Africa,0.0,1998,Almería
Bayárcal,América,0.0,1998,Almería
Bayárcal,Asia,0.0,1998,Almería
Bayárcal,Europa,0.5988023952095809,1998,Almería
Bayárcal,Oceanía,0.0,1998,Almería
Bayarque,Africa,0.0,1998,Almería
Bayarque,América,0.0,1998,Almería
Bayarque,Asia,0.0,1998,Almería
Bayarque,Europa,0.0,1998,Almería
Bayarque,Oceanía,0.0,1998,Almería
Bédar,Africa,0.36363636363636365,1998,Almería
Bédar,América,0.18181818181818182,1998,Almería
Bédar,Asia,0.36363636363636365,1998,Almería
Bédar,Europa,20.363636363636363,1998,Almería
Bédar,Oceanía,0.0,1998,Almería
Beires,Africa,0.0,1998,Almería
Beires,América,0.0,1998,Almería
Beires,Asia,0.0,1998,Almería
Beires,Europa,0.0,1998,Almería
Beires,Oceanía,0.0,1998,Almería
Benahadux,Africa,0.10948905109489052,1998,Almería
Benahadux,América,0.072992700729927,1998,Almería
Benahadux,Asia,0.0364963503649635,1998,Almería
Benahadux,Europa,0.36496350364963503,1998,Almería
Benahadux,Oceanía,0.0,1998,Almería
Benitagla,Africa,0.0,1998,Almería
Benitagla,América,0.0,1998,Almería
Benitagla,Asia,0.0,1998,Almería
Benitagla,Europa,0.0,1998,Almería
Benitagla,Oceanía,0.0,1998,Almería
Benizalón,Africa,0.0,1998,Almería
Benizalón,América,0.0,1998,Almería
Benizalón,Asia,0.0,1998,Almería
Benizalón,Europa,0.6172839506172839,1998,Almería
Benizalón,Oceanía,0.0,1998,Almería
Bentarique,Africa,0.0,1998,Almería
Bentarique,América,0.0,1998,Almería
Bentarique,Asia,0.0,1998,Almería
Bentarique,Europa,0.0,1998,Almería
Bentarique,Oceanía,0.0,1998,Almería
Berja,Africa,0.5910434189588543,1998,Almería
Berja,América,0.0681973175721755,1998,Almería
Berja,Asia,0.007577479730241721,1998,Almería
Berja,Europa,0.3485640675911192,1998,Almería
Berja,Oceanía,0.0,1998,Almería
Canjáyar,Africa,0.0,1998,Almería
Canjáyar,América,0.11574074074074073,1998,Almería
Canjáyar,Asia,0.0,1998,Almería
Canjáyar,Europa,0.0,1998,Almería
Canjáyar,Oceanía,0.0,1998,Almería
Cantoria,Africa,0.06238303181534623,1998,Almería
Cantoria,América,0.09357454772301933,1998,Almería
Cantoria,Asia,0.0,1998,Almería
Cantoria,Europa,1.122894572676232,1998,Almería
Cantoria,Oceanía,0.0,1998,Almería
Carboneras,Africa,0.3643852978453739,1998,Almería
Carboneras,América,0.04752851711026616,1998,Almería
Carboneras,Asia,0.0,1998,Almería
Carboneras,Europa,1.1565272496831431,1998,Almería
Carboneras,Oceanía,0.0,1998,Almería
Castro de Filabres,Africa,0.0,1998,Almería
Castro de Filabres,América,0.0,1998,Almería
Castro de Filabres,Asia,0.0,1998,Almería
Castro de Filabres,Europa,0.0,1998,Almería
Castro de Filabres,Oceanía,0.0,1998,Almería
Cóbdar,Africa,0.0,1998,Almería
Cóbdar,América,0.0,1998,Almería
Cóbdar,Asia,0.0,1998,Almería
Cóbdar,Europa,0.0,1998,Almería
Cóbdar,Oceanía,0.0,1998,Almería
Cuevas del Almanzora,Africa,0.4002106371774618,1998,Almería
Cuevas del Almanzora,América,0.0631911532385466,1998,Almería
Cuevas del Almanzora,Asia,0.010531858873091101,1998,Almería
Cuevas del Almanzora,Europa,0.8636124275934702,1998,Almería
Cuevas del Almanzora,Oceanía,0.0,1998,Almería
Chercos,Africa,0.0,1998,Almería
Chercos,América,0.0,1998,Almería
Chercos,Asia,0.0,1998,Almería
Chercos,Europa,0.33557046979865773,1998,Almería
Chercos,Oceanía,0.0,1998,Almería
Chirivel,Africa,0.0,1998,Almería
Chirivel,América,0.0,1998,Almería
Chirivel,Asia,0.0,1998,Almería
Chirivel,Europa,0.10887316276537834,1998,Almería
Chirivel,Oceanía,0.0,1998,Almería
Dalías,Africa,0.2748007694421544,1998,Almería
Dalías,América,0.1374003847210772,1998,Almería
Dalías,Asia,0.0,1998,Almería
Dalías,Europa,0.16488046166529266,1998,Almería
Dalías,Oceanía,0.0,1998,Almería
Enix,Africa,0.0,1998,Almería
Enix,América,0.43103448275862066,1998,Almería
Enix,Asia,0.0,1998,Almería
Enix,Europa,3.0172413793103448,1998,Almería
Enix,Oceanía,0.0,1998,Almería
Felix,Africa,0.0,1998,Almería
Felix,América,0.17699115044247787,1998,Almería
Felix,Asia,0.0,1998,Almería
Felix,Europa,1.7699115044247788,1998,Almería
Felix,Oceanía,0.0,1998,Almería
Fines,Africa,1.1655011655011656,1998,Almería
Fines,América,0.11655011655011654,1998,Almería
Fines,Asia,0.0,1998,Almería
