,Sexo,Municipios,País de nacimiento,Total,Año
0,Ambos sexos,Abla,Europa,0,1998
1,Ambos sexos,Abla,Europa,0,1999
2,Ambos sexos,Abla,Europa,0,2000
3,Ambos sexos,Abla,Europa,0,2001
4,Ambos sexos,Abla,Total Unión Europea,0.0,2002
5,Ambos sexos,Abla,Total Europa,40.0,2004
6,Ambos sexos,Abla,Total Europa,59,2005
7,Ambos sexos,Abla,Total Europa,68.0,2006
8,Ambos sexos,Abla,Total Europa,90.0,2007
9,Ambos sexos,Abla,Total Europa,113.0,2008
10,Ambos sexos,Abla,Total Europa,130.0,2009
11,Ambos sexos,Abla,Total Europa,137.0,2010
12,Ambos sexos,Abla,Total Europa,140.0,2011
13,Ambos sexos,Abla,Total Europa,150.0,2012
14,Ambos sexos,Abla,Total Europa,109.0,2013
15,Ambos sexos,Abla,Total Europa,129.0,2014
16,Ambos sexos,Abla,Total Europa,69.0,2015
17,Ambos sexos,Abla,Total Europa,69.0,2016
18,Ambos sexos,Abla,Total Europa,50.0,2017
19,Ambos sexos,Abla,Total Europa,45.0,2018
20,Ambos sexos,Abla,Total Europa,44.0,2019
21,Ambos sexos,Abrucena,Europa,0,1998
22,Ambos sexos,Abrucena,Europa,0,1999
23,Ambos sexos,Abrucena,Europa,0,2000
24,Ambos sexos,Abrucena,Europa,0,2001
25,Ambos sexos,Abrucena,Total Unión Europea,1.0,2002
26,Ambos sexos,Abrucena,Total Europa,22.0,2004
27,Ambos sexos,Abrucena,Total Europa,29,2005
28,Ambos sexos,Abrucena,Total Europa,39.0,2006
29,Ambos sexos,Abrucena,Total Europa,56.0,2007
30,Ambos sexos,Abrucena,Total Europa,60.0,2008
31,Ambos sexos,Abrucena,Total Europa,65.0,2009
32,Ambos sexos,Abrucena,Total Europa,75.0,2010
33,Ambos sexos,Abrucena,Total Europa,87.0,2011
34,Ambos sexos,Abrucena,Total Europa,89.0,2012
35,Ambos sexos,Abrucena,Total Europa,50.0,2013
36,Ambos sexos,Abrucena,Total Europa,40.0,2014
37,Ambos sexos,Abrucena,Total Europa,24.0,2015
38,Ambos sexos,Abrucena,Total Europa,29.0,2016
39,Ambos sexos,Abrucena,Total Europa,24.0,2017
40,Ambos sexos,Abrucena,Total Europa,19.0,2018
41,Ambos sexos,Abrucena,Total Europa,28.0,2019
42,Ambos sexos,Adra,Europa,55,1998
43,Ambos sexos,Adra,Europa,54,1999
44,Ambos sexos,Adra,Europa,65,2000
45,Ambos sexos,Adra,Europa,129,2001
46,Ambos sexos,Adra,Total Unión Europea,74.0,2002
47,Ambos sexos,Adra,Total Europa,536.0,2004
48,Ambos sexos,Adra,Total Europa,870,2005
49,Ambos sexos,Adra,Total Europa,1084.0,2006
50,Ambos sexos,Adra,Total Europa,1112.0,2007
51,Ambos sexos,Adra,Total Europa,1208.0,2008
52,Ambos sexos,Adra,Total Europa,1361.0,2009
53,Ambos sexos,Adra,Total Europa,1466.0,2010
54,Ambos sexos,Adra,Total Europa,1513.0,2011
55,Ambos sexos,Adra,Total Europa,1659.0,2012
56,Ambos sexos,Adra,Total Europa,1760.0,2013
57,Ambos sexos,Adra,Total Europa,1700.0,2014
58,Ambos sexos,Adra,Total Europa,1626.0,2015
59,Ambos sexos,Adra,Total Europa,1503.0,2016
60,Ambos sexos,Adra,Total Europa,1409.0,2017
61,Ambos sexos,Adra,Total Europa,1405.0,2018
62,Ambos sexos,Adra,Total Europa,1344.0,2019
63,Ambos sexos,Albánchez,Europa,0,1998
64,Ambos sexos,Albánchez,Europa,1,1999
65,Ambos sexos,Albánchez,Europa,1,2000
66,Ambos sexos,Albánchez,Europa,1,2001
67,Ambos sexos,Albánchez,Total Unión Europea,16.0,2002
68,Ambos sexos,Albánchez,Total Europa,125.0,2004
69,Ambos sexos,Albánchez,Total Europa,131,2005
70,Ambos sexos,Albánchez,Total Europa,133.0,2006
71,Ambos sexos,Albánchez,Total Europa,193.0,2007
72,Ambos sexos,Albánchez,Total Europa,222.0,2008
73,Ambos sexos,Albánchez,Total Europa,280.0,2009
74,Ambos sexos,Albánchez,Total Europa,289.0,2010
75,Ambos sexos,Albánchez,Total Europa,294.0,2011
76,Ambos sexos,Albánchez,Total Europa,279.0,2012
77,Ambos sexos,Albánchez,Total Europa,175.0,2013
78,Ambos sexos,Albánchez,Total Europa,287.0,2014
79,Ambos sexos,Albánchez,Total Europa,300.0,2015
80,Ambos sexos,Albánchez,Total Europa,297.0,2016
81,Ambos sexos,Albánchez,Total Europa,277.0,2017
82,Ambos sexos,Alboloduy,Europa,1,1998
83,Ambos sexos,Alboloduy,Europa,1,1999
84,Ambos sexos,Alboloduy,Europa,3,2000
85,Ambos sexos,Alboloduy,Europa,3,2001
86,Ambos sexos,Alboloduy,Total Unión Europea,4.0,2002
87,Ambos sexos,Alboloduy,Total Europa,7.0,2004
88,Ambos sexos,Alboloduy,Total Europa,7,2005
89,Ambos sexos,Alboloduy,Total Europa,7.0,2006
90,Ambos sexos,Alboloduy,Total Europa,13.0,2007
91,Ambos sexos,Alboloduy,Total Europa,15.0,2008
92,Ambos sexos,Alboloduy,Total Europa,16.0,2009
93,Ambos sexos,Alboloduy,Total Europa,15.0,2010
94,Ambos sexos,Alboloduy,Total Europa,17.0,2011
95,Ambos sexos,Alboloduy,Total Europa,16.0,2012
96,Ambos sexos,Alboloduy,Total Europa,13.0,2013
97,Ambos sexos,Alboloduy,Total Europa,16.0,2014
98,Ambos sexos,Alboloduy,Total Europa,16.0,2015
99,Ambos sexos,Alboloduy,Total Europa,8.0,2016
100,Ambos sexos,Alboloduy,Total Europa,9.0,2017
101,Ambos sexos,Alboloduy,Total Europa,9.0,2018
102,Ambos sexos,Alboloduy,Total Europa,12.0,2019
103,Ambos sexos,Albox,Europa,9,1998
104,Ambos sexos,Albox,Europa,90,1999
105,Ambos sexos,Albox,Europa,130,2000
106,Ambos sexos,Albox,Europa,212,2001
107,Ambos sexos,Albox,Total Unión Europea,195.0,2002
108,Ambos sexos,Albox,Total Europa,825.0,2004
109,Ambos sexos,Albox,Total Europa,1083,2005
110,Ambos sexos,Albox,Total Europa,1238.0,2006
111,Ambos sexos,Albox,Total Europa,1525.0,2007
112,Ambos sexos,Albox,Total Europa,1797.0,2008
