,Sexo,Municipios,País de nacimiento,Total,Año
0,Ambos sexos,Albanchez,Total Europa,291.0,2018
1,Ambos sexos,Albanchez,Total Europa,281.0,2019
2,Ambos sexos,Alboloduy,Europa,1,1998
3,Ambos sexos,Alboloduy,Europa,1,1999
4,Ambos sexos,Alboloduy,Europa,3,2000
5,Ambos sexos,Alboloduy,Europa,3,2001
6,Ambos sexos,Alboloduy,Total Unión Europea,4.0,2002
7,Ambos sexos,Alboloduy,Total Europa,7.0,2004
8,Ambos sexos,Alboloduy,Total Europa,7,2005
9,Ambos sexos,Alboloduy,Total Europa,7.0,2006
10,Ambos sexos,Alboloduy,Total Europa,13.0,2007
11,Ambos sexos,Alboloduy,Total Europa,15.0,2008
12,Ambos sexos,Alboloduy,Total Europa,16.0,2009
13,Ambos sexos,Alboloduy,Total Europa,15.0,2010
14,Ambos sexos,Alboloduy,Total Europa,17.0,2011
15,Ambos sexos,Alboloduy,Total Europa,16.0,2012
16,Ambos sexos,Alboloduy,Total Europa,13.0,2013
17,Ambos sexos,Alboloduy,Total Europa,16.0,2014
18,Ambos sexos,Alboloduy,Total Europa,16.0,2015
19,Ambos sexos,Alboloduy,Total Europa,8.0,2016
20,Ambos sexos,Alboloduy,Total Europa,9.0,2017
21,Ambos sexos,Alboloduy,Total Europa,9.0,2018
22,Ambos sexos,Alboloduy,Total Europa,12.0,2019
23,Ambos sexos,Alcolea,Europa,0,1998
24,Ambos sexos,Alcolea,Europa,0,1999
25,Ambos sexos,Alcolea,Europa,0,2000
26,Ambos sexos,Alcolea,Europa,3,2001
27,Ambos sexos,Alcolea,Total Unión Europea,1.0,2002
28,Ambos sexos,Alcolea,Total Europa,7.0,2004
29,Ambos sexos,Alcolea,Total Europa,7,2005
30,Ambos sexos,Alcolea,Total Europa,9.0,2006
31,Ambos sexos,Alcolea,Total Europa,10.0,2007
32,Ambos sexos,Alcolea,Total Europa,11.0,2008
33,Ambos sexos,Alcolea,Total Europa,11.0,2009
34,Ambos sexos,Alcolea,Total Europa,12.0,2010
35,Ambos sexos,Alcolea,Total Europa,13.0,2011
36,Ambos sexos,Alcolea,Total Europa,14.0,2012
37,Ambos sexos,Alcolea,Total Europa,11.0,2013
38,Ambos sexos,Alcolea,Total Europa,7.0,2014
39,Ambos sexos,Alcolea,Total Europa,4.0,2015
40,Ambos sexos,Alcolea,Total Europa,5.0,2016
41,Ambos sexos,Alcolea,Total Europa,3.0,2017
42,Ambos sexos,Alcolea,Total Europa,5.0,2018
43,Ambos sexos,Alcolea,Total Europa,7.0,2019
44,Ambos sexos,Alcóntar,Europa,0,1998
45,Ambos sexos,Alcóntar,Europa,0,1999
46,Ambos sexos,Alcóntar,Europa,0,2000
47,Ambos sexos,Alcóntar,Europa,0,2001
48,Ambos sexos,Alcóntar,Total Unión Europea,0.0,2002
49,Ambos sexos,Alcóntar,Total Europa,10.0,2004
50,Ambos sexos,Alcóntar,Total Europa,13,2005
51,Ambos sexos,Alcóntar,Total Europa,13.0,2006
52,Ambos sexos,Alcóntar,Total Europa,13.0,2007
53,Ambos sexos,Alcóntar,Total Europa,17.0,2008
54,Ambos sexos,Alcóntar,Total Europa,20.0,2009
55,Ambos sexos,Alcóntar,Total Europa,26.0,2010
56,Ambos sexos,Alcóntar,Total Europa,29.0,2011
57,Ambos sexos,Alcóntar,Total Europa,30.0,2012
58,Ambos sexos,Alcóntar,Total Europa,38.0,2013
59,Ambos sexos,Alcóntar,Total Europa,33.0,2014
60,Ambos sexos,Alcóntar,Total Europa,22.0,2015
61,Ambos sexos,Alcóntar,Total Europa,24.0,2016
62,Ambos sexos,Alcóntar,Total Europa,26.0,2017
63,Ambos sexos,Alcóntar,Total Europa,18.0,2018
64,Ambos sexos,Alcóntar,Total Europa,19.0,2019
65,Ambos sexos,Alcudia de Monteagud,Europa,0,1998
66,Ambos sexos,Alcudia de Monteagud,Europa,0,1999
67,Ambos sexos,Alcudia de Monteagud,Europa,0,2000
68,Ambos sexos,Alcudia de Monteagud,Europa,0,2001
69,Ambos sexos,Alcudia de Monteagud,Total Unión Europea,0.0,2002
70,Ambos sexos,Alcudia de Monteagud,Total Europa,8.0,2004
71,Ambos sexos,Alcudia de Monteagud,Total Europa,8,2005
72,Ambos sexos,Alcudia de Monteagud,Total Europa,3.0,2006
73,Ambos sexos,Alcudia de Monteagud,Total Europa,8.0,2007
74,Ambos sexos,Alcudia de Monteagud,Total Europa,6.0,2008
75,Ambos sexos,Alcudia de Monteagud,Total Europa,6.0,2009
76,Ambos sexos,Alcudia de Monteagud,Total Europa,5.0,2010
77,Ambos sexos,Alcudia de Monteagud,Total Europa,5.0,2011
78,Ambos sexos,Alcudia de Monteagud,Total Europa,5.0,2012
79,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2013
80,Ambos sexos,Alcudia de Monteagud,Total Europa,0.0,2014
81,Ambos sexos,Alcudia de Monteagud,Total Europa,2.0,2015
82,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2016
83,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2017
84,Ambos sexos,Alcudia de Monteagud,Total Europa,1.0,2018
85,Ambos sexos,Alcudia de Monteagud,Total Europa,6.0,2019
86,Ambos sexos,Alhabia,Europa,0,1998
87,Ambos sexos,Alhabia,Europa,0,1999
88,Ambos sexos,Alhabia,Europa,0,2000
89,Ambos sexos,Alhabia,Europa,0,2001
90,Ambos sexos,Alhabia,Total Unión Europea,1.0,2002
91,Ambos sexos,Alhabia,Total Europa,4.0,2004
92,Ambos sexos,Alhabia,Total Europa,13,2005
93,Ambos sexos,Alhabia,Total Europa,17.0,2006
94,Ambos sexos,Alhabia,Total Europa,18.0,2007
95,Ambos sexos,Alhabia,Total Europa,26.0,2008
96,Ambos sexos,Alhabia,Total Europa,24.0,2009
97,Ambos sexos,Alhabia,Total Europa,23.0,2010
98,Ambos sexos,Alhabia,Total Europa,25.0,2011
99,Ambos sexos,Alhabia,Total Europa,26.0,2012
100,Ambos sexos,Alhabia,Total Europa,17.0,2013
101,Ambos sexos,Alhabia,Total Europa,20.0,2014
102,Ambos sexos,Alhabia,Total Europa,25.0,2015
103,Ambos sexos,Alhabia,Total Europa,20.0,2016
104,Ambos sexos,Alhabia,Total Europa,16.0,2017
105,Ambos sexos,Alhabia,Total Europa,16.0,2018
106,Ambos sexos,Alhabia,Total Europa,20.0,2019
107,Ambos sexos,Alicún,Europa,2,1998
108,Ambos sexos,Alicún,Europa,2,1999
109,Ambos sexos,Alicún,Europa,2,2000
110,Ambos sexos,Alicún,Europa,2,2001
111,Ambos sexos,Alicún,Total Unión Europea,2.0,2002
112,Ambos sexos,Alicún,Total Europa,2.0,2004
113,Ambos sexos,Alicún,Total Europa,1,2005
114,Ambos sexos,Alicún,Total Europa,3.0,2006
115,Ambos sexos,Alicún,Total Europa,4.0,2007
116,Ambos sexos,Alicún,Total Europa,5.0,2008
117,Ambos sexos,Alicún,Total Europa,6.0,2009
118,Ambos sexos,Alicún,Total Europa,3.0,2010
119,Ambos sexos,Alicún,Total Europa,2.0,2011
120,Ambos sexos,Alicún,Total Europa,2.0,2012
121,Ambos sexos,Alicún,Total Europa,2.0,2013
122,Ambos sexos,Alicún,Total Europa,1.0,2014
123,Ambos sexos,Alicún,Total Europa,1.0,2015
124,Ambos sexos,Alicún,Total Europa,1.0,2016
125,Ambos sexos,Alicún,Total Europa,1.0,2017
126,Ambos sexos,Alicún,Total Europa,2.0,2018
127,Ambos sexos,Alicún,Total Europa,2.0,2019
128,Ambos sexos,Almócita,Europa,0,1998
129,Ambos sexos,Almócita,Europa,0,1999
130,Ambos sexos,Almócita,Europa,0,2000
131,Ambos sexos,Almócita,Europa,0,2001
132,Ambos sexos,Almócita,Total Unión Europea,0.0,2002
133,Ambos sexos,Almócita,Total Europa,1.0,2004
134,Ambos sexos,Almócita,Total Europa,1,2005
135,Ambos sexos,Almócita,Total Europa,0.0,2006
136,Ambos sexos,Almócita,Total Europa,4.0,2007
137,Ambos sexos,Almócita,Total Europa,7.0,2008
138,Ambos sexos,Almócita,Total Europa,7.0,2009
139,Ambos sexos,Almócita,Total Europa,8.0,2010
140,Ambos sexos,Almócita,Total Europa,8.0,2011
141,Ambos sexos,Almócita,Total Europa,8.0,2012
142,Ambos sexos,Almócita,Total Europa,5.0,2013
143,Ambos sexos,Almócita,Total Europa,2.0,2014
144,Ambos sexos,Almócita,Total Europa,5.0,2015
145,Ambos sexos,Almócita,Total Europa,6.0,2016
146,Ambos sexos,Almócita,Total Europa,5.0,2017
147,Ambos sexos,Almócita,Total Europa,5.0,2018
148,Ambos sexos,Almócita,Total Europa,6.0,2019
