,Municipio,variable,value
0,Algeciras,enero_2006,3.32
1,Almería,enero_2006,3.44
2,Cádiz,enero_2006,4.17
3,Córdoba,enero_2006,4.0
4,Dos Hermanas,enero_2006,3.86
5,Granada,enero_2006,5.04
6,Huelva,enero_2006,4.99
7,Jaén,enero_2006,7.04
8,Jerez de la Frontera,enero_2006,4.96
9,Marbella,enero_2006,4.24
10,Málaga,enero_2006,3.9
11,Sevilla,enero_2006,4.46
12,Algeciras,febrero_2006,2.94
13,Almería,febrero_2006,3.31
14,Cádiz,febrero_2006,3.6
15,Córdoba,febrero_2006,3.29
16,Dos Hermanas,febrero_2006,3.52
17,Granada,febrero_2006,4.72
18,Huelva,febrero_2006,3.13
19,Jaén,febrero_2006,4.45
20,Jerez de la Frontera,febrero_2006,4.41
21,Marbella,febrero_2006,4.67
22,Málaga,febrero_2006,3.73
23,Sevilla,febrero_2006,4.19
24,Algeciras,marzo_2006,3.37
25,Almería,marzo_2006,4.01
26,Cádiz,marzo_2006,4.42
27,Córdoba,marzo_2006,3.83
28,Dos Hermanas,marzo_2006,4.19
29,Granada,marzo_2006,5.81
30,Huelva,marzo_2006,4.13
31,Jaén,marzo_2006,4.31
32,Jerez de la Frontera,marzo_2006,5.6
33,Marbella,marzo_2006,5.58
34,Málaga,marzo_2006,4.33
35,Sevilla,marzo_2006,5.23
36,Algeciras,abril_2006,2.91
37,Almería,abril_2006,3.17
38,Cádiz,abril_2006,3.38
39,Córdoba,abril_2006,3.4
40,Dos Hermanas,abril_2006,3.3
41,Granada,abril_2006,4.57
42,Huelva,abril_2006,2.96
43,Jaén,abril_2006,3.36
44,Jerez de la Frontera,abril_2006,4.99
45,Marbella,abril_2006,5.16
46,Málaga,abril_2006,3.77
47,Sevilla,abril_2006,4.2
48,Algeciras,mayo_2006,3.81
49,Almería,mayo_2006,4.3
50,Cádiz,mayo_2006,4.43
51,Córdoba,mayo_2006,4.23
52,Dos Hermanas,mayo_2006,4.06
53,Granada,mayo_2006,5.46
54,Huelva,mayo_2006,4.18
55,Jaén,mayo_2006,4.08
56,Jerez de la Frontera,mayo_2006,6.36
57,Marbella,mayo_2006,6.04
58,Málaga,mayo_2006,4.69
59,Sevilla,mayo_2006,4.98
60,Algeciras,junio_2006,3.93
61,Almería,junio_2006,4.26
62,Cádiz,junio_2006,4.3
63,Córdoba,junio_2006,4.09
