,Municipio,variable,value
0,Abla,enero_2006,2.92
1,Abrucena,enero_2006,2.54
2,Aguadulce,enero_2006,15.62
3,Alanís,enero_2006,9.37
4,Albanchez de Mágina,enero_2006,7.54
5,Albuñuelas,enero_2006,6.07
6,Alcaracejos,enero_2006,5.12
7,Alcaucín,enero_2006,2.06
8,Alfarnate,enero_2006,3.46
9,Algar,enero_2006,5.02
10,Algámitas,enero_2006,5.11
11,Almadén de la Plata,enero_2006,4.73
12,Almonaster la Real,enero_2006,5.97
13,Almáchar,enero_2006,2.78
14,Alpujarra de la Sierra,enero_2006,2.1
15,Arenas,enero_2006,3.73
16,Arquillos,enero_2006,7.3
17,Arroyomolinos de León,enero_2006,3.68
18,Añora,enero_2006,2.48
19,Beas de Granada,enero_2006,1.01
20,Benalúa de las Villas,enero_2006,5.62
21,Benamargosa,enero_2006,2.61
22,Benaoján,enero_2006,3.91
23,Bélmez de la Moraleda,enero_2006,8.32
24,Cala,enero_2006,2.52
25,Campotéjar,enero_2006,3.95
26,Canjáyar,enero_2006,3.33
27,Cardeña,enero_2006,4.69
28,Castilléjar,enero_2006,3.52
29,Chiclana de Segura,enero_2006,16.2
30,Chilluévar,enero_2006,13.87
31,Chimeneas,enero_2006,8.86
32,Chirivel,enero_2006,1.19
33,Colomera,enero_2006,11.59
34,Comares,enero_2006,2.23
35,Coripe,enero_2006,4.39
36,Cortes y Graena,enero_2006,1.11
37,Cuevas Bajas,enero_2006,8.32
38,Cuevas del Becerro,enero_2006,4.49
39,Cádiar,enero_2006,1.79
40,Cárcheles,enero_2006,9.65
41,Darro,enero_2006,3.69
42,Dílar,enero_2006,1.62
43,El Castillo de las Guardas,enero_2006,4.98
44,El Gastor,enero_2006,3.53
45,El Pinar,enero_2006,1.93
46,El Real de la Jara,enero_2006,1.77
47,El Ronquillo,enero_2006,2.3
48,El Valle,enero_2006,6.19
49,Encinasola,enero_2006,1.96
50,Fonelas,enero_2006,3.76
51,Frailes,enero_2006,13.36
52,Freila,enero_2006,2.61
