Municipios,Año,Total,Provincia,Clasificación
Abla,2019,1249.0,Almería,2
Abla,2018,1235.0,Almería,2
Abla,2017,1267.0,Almería,2
Abla,2016,1294.0,Almería,2
Abla,2015,1342.0,Almería,2
Abla,2014,1426.0,Almería,2
Abla,2013,1422.0,Almería,2
Abla,2012,1465.0,Almería,2
Abla,2011,1480.0,Almería,2
Abla,2010,1463.0,Almería,2
Abla,2009,1504.0,Almería,2
Abla,2008,1503.0,Almería,2
Abla,2007,1514.0,Almería,2
Abla,2006,1505.0,Almería,2
Abla,2005,1512.0,Almería,2
Abla,2004,1482.0,Almería,2
Abla,2003,1480.0,Almería,2
Abla,2002,1529.0,Almería,2
Abla,2001,1517.0,Almería,2
Abla,2000,1516.0,Almería,2
Abla,1999,1519.0,Almería,2
Abla,1998,1516.0,Almería,2
Abrucena,2019,1202.0,Almería,2
Abrucena,2018,1150.0,Almería,2
Abrucena,2017,1170.0,Almería,2
Abrucena,2016,1208.0,Almería,2
Abrucena,2015,1279.0,Almería,2
Abrucena,2014,1262.0,Almería,2
Abrucena,2013,1299.0,Almería,2
Abrucena,2012,1360.0,Almería,2
Abrucena,2011,1391.0,Almería,2
Abrucena,2010,1367.0,Almería,2
Abrucena,2009,1341.0,Almería,2
Abrucena,2008,1366.0,Almería,2
Abrucena,2007,1379.0,Almería,2
Abrucena,2006,1339.0,Almería,2
Abrucena,2005,1358.0,Almería,2
Abrucena,2004,1386.0,Almería,2
Abrucena,2003,1391.0,Almería,2
Abrucena,2002,1413.0,Almería,2
Abrucena,2001,1437.0,Almería,2
Abrucena,2000,1455.0,Almería,2
Abrucena,1999,1460.0,Almería,2
Abrucena,1998,1462.0,Almería,2
Adra,2019,25148.0,Almería,4
Adra,2018,24859.0,Almería,4
Adra,2017,24697.0,Almería,4
Adra,2016,24713.0,Almería,4
Adra,2015,24670.0,Almería,4
Adra,2014,24782.0,Almería,4
Adra,2013,24761.0,Almería,4
Adra,2012,24626.0,Almería,4
Adra,2011,24512.0,Almería,4
Adra,2010,24512.0,Almería,4
Adra,2009,24373.0,Almería,4
Adra,2008,23880.0,Almería,4
Adra,2007,23742.0,Almería,4
Adra,2006,23545.0,Almería,4
Adra,2005,23195.0,Almería,4
Adra,2004,22257.0,Almería,4
Adra,2003,21704.0,Almería,4
Adra,2002,22034.0,Almería,4
Adra,2001,21810.0,Almería,4
Adra,2000,21505.0,Almería,4
Adra,1999,21286.0,Almería,4
Adra,1998,21016.0,Almería,4
Albánchez,2019,741.0,Almería,1
Albánchez,2018,753.0,Almería,1
Albánchez,2017,754.0,Almería,1
Albánchez,2016,796.0,Almería,1
Albánchez,2015,805.0,Almería,1
Albánchez,2014,772.0,Almería,1
Albánchez,2013,648.0,Almería,1
Albánchez,2012,774.0,Almería,1
Albánchez,2011,823.0,Almería,1
Albánchez,2010,814.0,Almería,1
Albánchez,2009,815.0,Almería,1
Albánchez,2008,726.0,Almería,1
Albánchez,2007,697.0,Almería,1
Albánchez,2006,660.0,Almería,1
Albánchez,2005,681.0,Almería,1
Albánchez,2004,697.0,Almería,1
Albánchez,2003,638.0,Almería,1
Albánchez,2002,585.0,Almería,1
Albánchez,2001,575.0,Almería,1
Albánchez,2000,586.0,Almería,1
Albánchez,1999,605.0,Almería,1
Albánchez,1998,605.0,Almería,1
Alboloduy,2019,616.0,Almería,1
Alboloduy,2018,621.0,Almería,1
Alboloduy,2017,610.0,Almería,1
Alboloduy,2016,613.0,Almería,1
Alboloduy,2015,653.0,Almería,1
Alboloduy,2014,642.0,Almería,1
Alboloduy,2013,645.0,Almería,1
Alboloduy,2012,674.0,Almería,1
Alboloduy,2011,698.0,Almería,1
Alboloduy,2010,667.0,Almería,1
Alboloduy,2009,674.0,Almería,1
Alboloduy,2008,703.0,Almería,1
Alboloduy,2007,728.0,Almería,1
Alboloduy,2006,727.0,Almería,1
Alboloduy,2005,745.0,Almería,1
Alboloduy,2004,764.0,Almería,1
Alboloduy,2003,765.0,Almería,1
Alboloduy,2002,765.0,Almería,1
Alboloduy,2001,800.0,Almería,1
Alboloduy,2000,812.0,Almería,1
Alboloduy,1999,811.0,Almería,1
Alboloduy,1998,813.0,Almería,1
Albox,2019,11805.0,Almería,4
Albox,2018,11696.0,Almería,4
Albox,2017,11481.0,Almería,4
Albox,2016,11144.0,Almería,4
Albox,2015,11429.0,Almería,4
Albox,2014,11715.0,Almería,4
Albox,2013,10409.0,Almería,4
Albox,2012,10821.0,Almería,4
Albox,2011,11091.0,Almería,4
Albox,2010,11042.0,Almería,4
Albox,2009,11178.0,Almería,4
Albox,2008,11427.0,Almería,4
Albox,2007,11166.0,Almería,4
Albox,2006,11000.0,Almería,4
Albox,2005,11271.0,Almería,4
Albox,2004,10680.0,Almería,4
Albox,2003,10409.0,Almería,4
Albox,2002,9974.0,Almería,4
Albox,2001,9661.0,Almería,4
Albox,2000,9599.0,Almería,4
Albox,1999,9671.0,Almería,4
Albox,1998,9471.0,Almería,4
Alcolea,2019,825.0,Almería,1
Alcolea,2018,814.0,Almería,1
Alcolea,2017,811.0,Almería,1
Alcolea,2016,815.0,Almería,1
Alcolea,2015,812.0,Almería,1
Alcolea,2014,861.0,Almería,1
Alcolea,2013,850.0,Almería,1
Alcolea,2012,895.0,Almería,1
Alcolea,2011,916.0,Almería,1
Alcolea,2010,902.0,Almería,1
Alcolea,2009,908.0,Almería,1
Alcolea,2008,927.0,Almería,1
Alcolea,2007,957.0,Almería,1
Alcolea,2006,967.0,Almería,1
Alcolea,2005,966.0,Almería,1
Alcolea,2004,1009.0,Almería,1
Alcolea,2003,1018.0,Almería,1
Alcolea,2002,923.0,Almería,1
Alcolea,2001,906.0,Almería,1
Alcolea,2000,903.0,Almería,1
Alcolea,1999,856.0,Almería,1
Alcolea,1998,849.0,Almería,1
Alcóntar,2019,505.0,Almería,1
Alcóntar,2018,528.0,Almería,1
Alcóntar,2017,577.0,Almería,1
Alcóntar,2016,572.0,Almería,1
Alcóntar,2015,570.0,Almería,1
Alcóntar,2014,578.0,Almería,1
Alcóntar,2013,618.0,Almería,1
Alcóntar,2012,624.0,Almería,1
Alcóntar,2011,605.0,Almería,1
Alcóntar,2010,598.0,Almería,1
Alcóntar,2009,603.0,Almería,1
Alcóntar,2008,597.0,Almería,1
Alcóntar,2007,611.0,Almería,1
Alcóntar,2006,617.0,Almería,1
Alcóntar,2005,647.0,Almería,1
Alcóntar,2004,650.0,Almería,1
Alcóntar,2003,627.0,Almería,1
Alcóntar,2002,647.0,Almería,1
Alcóntar,2001,656.0,Almería,1
Alcóntar,2000,656.0,Almería,1
Alcóntar,1999,610.0,Almería,1
Alcóntar,1998,603.0,Almería,1
Alcudia de Monteagud,2019,152.0,Almería,1
Alcudia de Monteagud,2018,135.0,Almería,1
Alcudia de Monteagud,2017,148.0,Almería,1
Alcudia de Monteagud,2016,158.0,Almería,1
Alcudia de Monteagud,2015,168.0,Almería,1
Alcudia de Monteagud,2014,140.0,Almería,1
Alcudia de Monteagud,2013,141.0,Almería,1
Alcudia de Monteagud,2012,151.0,Almería,1
Alcudia de Monteagud,2011,161.0,Almería,1
Alcudia de Monteagud,2010,144.0,Almería,1
Alcudia de Monteagud,2009,141.0,Almería,1
Alcudia de Monteagud,2008,148.0,Almería,1
Alcudia de Monteagud,2007,154.0,Almería,1
Alcudia de Monteagud,2006,142.0,Almería,1
Alcudia de Monteagud,2005,158.0,Almería,1
Alcudia de Monteagud,2004,166.0,Almería,1
Alcudia de Monteagud,2003,152.0,Almería,1
Alcudia de Monteagud,2002,190.0,Almería,1
Alcudia de Monteagud,2001,193.0,Almería,1
Alcudia de Monteagud,2000,209.0,Almería,1
Alcudia de Monteagud,1999,194.0,Almería,1
Alcudia de Monteagud,1998,159.0,Almería,1
Alhabia,2019,671.0,Almería,1
Alhabia,2018,648.0,Almería,1
Alhabia,2017,678.0,Almería,1
Alhabia,2016,677.0,Almería,1
Alhabia,2015,700.0,Almería,1
Alhabia,2014,681.0,Almería,1
Alhabia,2013,671.0,Almería,1
Alhabia,2012,680.0,Almería,1
Alhabia,2011,706.0,Almería,1
Alhabia,2010,718.0,Almería,1
Alhabia,2009,724.0,Almería,1
Alhabia,2008,721.0,Almería,1
Alhabia,2007,710.0,Almería,1
Alhabia,2006,703.0,Almería,1
Alhabia,2005,692.0,Almería,1
Alhabia,2004,679.0,Almería,1
Alhabia,2003,676.0,Almería,1
Alhabia,2002,681.0,Almería,1
Alhabia,2001,683.0,Almería,1
Alhabia,2000,672.0,Almería,1
Alhabia,1999,670.0,Almería,1
Alhabia,1998,675.0,Almería,1
Alhama de Almería,2019,3641.0,Almería,3
Alhama de Almería,2018,3615.0,Almería,3
Alhama de Almería,2017,3653.0,Almería,3
Alhama de Almería,2016,3687.0,Almería,3
Alhama de Almería,2015,3763.0,Almería,3
Alhama de Almería,2014,3753.0,Almería,3
Alhama de Almería,2013,3815.0,Almería,3
Alhama de Almería,2012,3847.0,Almería,3
Alhama de Almería,2011,3835.0,Almería,3
Alhama de Almería,2010,3824.0,Almería,3
Alhama de Almería,2009,3779.0,Almería,3
Alhama de Almería,2008,3724.0,Almería,3
Alhama de Almería,2007,3587.0,Almería,3
Alhama de Almería,2006,3522.0,Almería,3
Alhama de Almería,2005,3438.0,Almería,3
