Municipios,Puesto Nacional,Puesto Autonómico,Renta Bruta,Renta Disponible,Provincia,Año
Almería,689,39,22868.000000000004,18837,Almería,2013
Carboneras,1067,66,20671.999999999996,17294,Almería,2013
Roquetas de Mar,1085,67,20581.999999999996,17072,Almería,2013
Huércal de Almería,1124,71,20386.0,17150,Almería,2013
Vera,1167,73,20202.0,16861,Almería,2013
Macael,1385,102,19160.0,16094,Almería,2013
Mojácar,1465,110,18766.0,15823,Almería,2013
Tíjola,1512,113,18534.000000000004,15841,Almería,2013
Huércal-Overa,1579,123,18236.0,15507,Almería,2013
Olula del Río,1636,134,18047.0,15389,Almería,2013
Fines,1659,139,17914.0,15305,Almería,2013
Garrucha,1722,148,17675.0,15120,Almería,2013
Pechina,1741,152,17575.0,15039,Almería,2013
Viator,1770,158,17445.0,15113,Almería,2013
Albox,1774,160,17430.999999999996,14924,Almería,2013
Benahadux,1810,167,17289.0,14954,Almería,2013
Pulpí,1857,178,17073.0,14636,Almería,2013
Gádor,1891,184,16933.0,14639,Almería,2013
Serón,1895,185,16922.0,14578,Almería,2013
Purchena,2012,208,16531.0,14260,Almería,2013
Los Gallardos,2033,211,16453.0,14175,Almería,2013
Cuevas del Almanzora,2035,212,16452.0,14210,Almería,2013
Alhama de Almería,2129,233,16137.999999999998,14155,Almería,2013
Antas,2155,240,16036.999999999998,13909,Almería,2013
Vélez-Rubio,2159,242,16022.000000000002,13940,Almería,2013
Berja,2181,247,15898.0,13812,Almería,2013
Adra,2186,248,15870.999999999998,13755,Almería,2013
Cantoria,2212,254,15785.0,13809,Almería,2013
Dalías,2215,255,15774.0,13744,Almería,2013
El Ejido,2232,258,15725.0,13530,Almería,2013
Vícar,2234,260,15716.0,13664,Almería,2013
Chirivel,2242,263,15654.000000000002,13747,Almería,2013
Rioja,2305,281,15384.0,13464,Almería,2013
Turre,2352,296,15196.0,13339,Almería,2013
Níjar,2371,302,15132.0,13175,Almería,2013
Sorbas,2424,319,14940.999999999998,13317,Almería,2013
Zurgena,2538,357,14515.999999999998,12935,Almería,2013
La Mojonera,2632,391,14171.0,12481,Almería,2013
Abla,2651,400,14110.999999999998,12538,Almería,2013
Vélez-Blanco,2740,447,13690.999999999998,12296,Almería,2013
Láujar de Andarax,2764,455,13556.0,11956,Almería,2013
Tabernas,2769,459,13538.0,12084,Almería,2013
Gérgal,2773,462,13507.0,11987,Almería,2013
Canjáyar,2798,474,13345.0,12024,Almería,2013
Taberno,2810,479,13277.999999999998,11953,Almería,2013
Arboleas,2821,486,13212.0,11977,Almería,2013
Oria,2830,493,13177.0,11789,Almería,2013
Fiñana,2845,505,13077.0,11780,Almería,2013
Abrucena,2864,518,12937.999999999998,11735,Almería,2013
Lubrín,2874,522,12895.999999999998,11815,Almería,2013
María,2886,528,12817.0,11587,Almería,2013
Agrupación municipios pequeños,0,0,13745.999999999998,12276,Almería,2013
Algeciras,228,16,26568.0,21502,Cádiz,2013
Cádiz,277,18,26010.0,21405,Cádiz,2013
El Puerto de Santa María,354,19,25154.0,20682,Cádiz,2013
Los Barrios,358,20,25124.000000000004,20488,Cádiz,2013
San Roque,484,24,24206.999999999996,19953,Cádiz,2013
San Fernando,594,32,23500.999999999996,19753,Cádiz,2013
La Línea de la Concepción,647,34,23136.999999999996,19334,Cádiz,2013
Puerto Real,743,43,22564.0,18877,Cádiz,2013
Rota,877,50,21736.0,18401,Cádiz,2013
