Provincia,Elección,Izquierda,Derecha,Diferencia
Almería,1977,38.34,61.65,-23.309999999999995
Cádiz,1977,60.17,38.25,21.92
Córdoba,1977,56.21,43.33,12.880000000000003
Granada,1977,48.17,51.84,-3.6700000000000017
Huelva,1977,45.7,54.3,-8.599999999999994
Jaén,1977,54.76,45.26,9.5
Málaga,1977,63.52,36.14,27.380000000000003
Sevilla,1977,59.33,40.67,18.659999999999997
Almería,1979,47.72,50.41,-2.6899999999999977
Cádiz,1979,61.23,34.0,27.229999999999997
Córdoba,1979,60.35,37.8,22.550000000000004
Granada,1979,55.56,42.62,12.940000000000005
Huelva,1979,53.49,42.46,11.030000000000001
Jaén,1979,58.8,40.24,18.559999999999995
Málaga,1979,62.36,34.88,27.479999999999997
Sevilla,1979,60.85,33.88,26.97
Almería,1982,62.3,37.39,24.909999999999997
Cádiz,1982,72.68,27.1,45.580000000000005
Córdoba,1982,69.88,29.96,39.919999999999995
Granada,1982,66.34,33.53,32.81
Huelva,1982,69.34,30.54,38.800000000000004
Jaén,1982,66.3,33.65,32.65
Málaga,1982,70.65,29.19,41.46000000000001
Sevilla,1982,72.84,26.98,45.86
Almería,1986,61.86,37.92,23.939999999999998
Cádiz,1986,73.33,26.45,46.879999999999995
Córdoba,1986,70.5,29.38,41.120000000000005
Granada,1986,65.52,34.33,31.189999999999998
Huelva,1986,71.57,28.21,43.35999999999999
Jaén,1986,66.71,33.19,33.519999999999996
Málaga,1986,70.65,29.16,41.49000000000001
Sevilla,1986,74.25,25.63,48.620000000000005
Almería,1989,65.59,34.41,31.180000000000007
Cádiz,1989,75.64,24.34,51.3
Córdoba,1989,74.73,24.62,50.11
Granada,1989,66.73,32.34,34.39
Huelva,1989,73.95,26.05,47.900000000000006
Jaén,1989,69.97,30.03,39.94
Málaga,1989,73.33,26.69,46.64
Sevilla,1989,77.46,22.55,54.91
Almería,1993,59.8,39.62,20.18
Cádiz,1993,69.68,29.64,40.040000000000006
Córdoba,1993,70.53,29.12,41.41
Granada,1993,62.84,36.32,26.520000000000003
Huelva,1993,69.14,30.77,38.370000000000005
Jaén,1993,65.81,33.76,32.050000000000004
Málaga,1993,65.63,33.59,32.03999999999999
Sevilla,1993,72.37,27.0,45.370000000000005
Almería,1996,59.26,40.61,18.65
Cádiz,1996,63.99,35.85,28.14
Córdoba,1996,66.59,33.35,33.24
Granada,1996,61.12,38.82,22.299999999999997
Huelva,1996,65.69,34.23,31.46
Jaén,1996,62.69,37.25,25.439999999999998
Málaga,1996,60.78,39.12,21.660000000000004
Sevilla,1996,68.02,31.92,36.099999999999994
Almería,2000,50.18,49.58,0.6000000000000014
Cádiz,2000,56.91,42.54,14.369999999999997
Córdoba,2000,58.23,41.64,16.589999999999996
Granada,2000,56.24,43.61,12.630000000000003
Huelva,2000,59.01,40.8,18.21
Jaén,2000,59.0,40.87,18.130000000000003
Málaga,2000,53.78,45.96,7.82
Sevilla,2000,63.99,35.91,28.080000000000005
Almería,2004,54.61,45.28,9.329999999999998
Cádiz,2004,65.14,34.59,30.549999999999997
Córdoba,2004,65.11,34.67,30.439999999999998
