,Provincia,variable,value,id
0,Almería,1982,41.43,04
1,Cádiz,1982,27.57,11
2,Córdoba,1982,31.61,14
3,Granada,1982,34.44,18
4,Huelva,1982,33.16,21
5,Jaén,1982,34.92,23
6,Málaga,1982,30.25,29
7,Sevilla,1982,28.82,41
8,Almería,1986,34.93,04
9,Cádiz,1986,23.46,11
10,Córdoba,1986,25.53,14
11,Granada,1986,32.0,18
12,Huelva,1986,25.03,21
13,Jaén,1986,30.89,23
14,Málaga,1986,25.36,29
15,Sevilla,1986,22.17,41
16,Almería,1990,31.93,04
17,Cádiz,1990,18.89,11
18,Córdoba,1990,22.53,14
19,Granada,1990,29.85,18
20,Huelva,1990,23.88,21
21,Jaén,1990,28.79,23
22,Málaga,1990,24.3,29
23,Sevilla,1990,20.39,41
24,Almería,1994,42.63,04
25,Cádiz,1994,33.9,11
26,Córdoba,1994,31.4,14
27,Granada,1994,39.4,18
28,Huelva,1994,33.66,21
29,Jaén,1994,36.47,23
30,Málaga,1994,37.35,29
31,Sevilla,1994,31.3,41
32,Almería,1996,40.01,04
33,Cádiz,1996,32.84,11
34,Córdoba,1996,31.93,14
35,Granada,1996,38.02,18
36,Huelva,1996,33.11,21
37,Jaén,1996,36.54,23
38,Málaga,1996,37.86,29
39,Sevilla,1996,30.13,41
40,Almería,2000,46.99,04
41,Cádiz,2000,37.7,11
42,Córdoba,2000,38.65,14
43,Granada,2000,41.32,18
44,Huelva,2000,37.91,21
45,Jaén,2000,38.4,23
46,Málaga,2000,41.48,29
47,Sevilla,2000,32.54,41
48,Almería,2004,43.82,04
49,Cádiz,2004,33.31,11
50,Córdoba,2004,34.71,14
51,Granada,2004,37.48,18
52,Huelva,2004,29.81,21
53,Jaén,2004,33.28,23
54,Málaga,2004,36.09,29
55,Sevilla,2004,27.74,41
56,Almería,2008,54.38,04
57,Cádiz,2008,38.83,11
58,Córdoba,2008,38.59,14
59,Granada,2008,42.58,18
60,Huelva,2008,35.67,21
61,Jaén,2008,37.08,23
62,Málaga,2008,44.31,29
63,Sevilla,2008,32.32,41
64,Almería,2012,51.97,04
65,Cádiz,2012,41.09,11
66,Córdoba,2012,40.2,14
67,Granada,2012,43.99,18
68,Huelva,2012,39.08,21
69,Jaén,2012,41.55,23
70,Málaga,2012,44.35,29
71,Sevilla,2012,35.76,41
72,Almería,2015,47.94,04
73,Cádiz,2015,35.49,11
74,Córdoba,2015,36.07,14
75,Granada,2015,40.58,18
76,Huelva,2015,34.56,21
77,Jaén,2015,36.35,23
78,Málaga,2015,41.73,29
79,Sevilla,2015,32.83,41
80,Almería,2018,61.4,04
81,Cádiz,2018,50.69,11
82,Córdoba,2018,49.67,14
83,Granada,2018,53.58,18
84,Huelva,2018,48.15,21
85,Jaén,2018,49.09,23
86,Málaga,2018,55.12,29
87,Sevilla,2018,45.91,41
