,Provincia,variable,value,id
0,Almería,1977,61.65,04
1,Cádiz,1977,38.25,11
2,Córdoba,1977,43.33,14
3,Granada,1977,51.84,18
4,Huelva,1977,54.3,21
5,Jaén,1977,45.26,23
6,Málaga,1977,36.14,29
7,Sevilla,1977,40.67,41
8,Almería,1979,50.41,04
9,Cádiz,1979,34.0,11
10,Córdoba,1979,37.8,14
11,Granada,1979,42.62,18
12,Huelva,1979,42.46,21
13,Jaén,1979,40.24,23
14,Málaga,1979,34.88,29
15,Sevilla,1979,33.88,41
16,Almería,1982,37.39,04
17,Cádiz,1982,27.1,11
18,Córdoba,1982,29.96,14
19,Granada,1982,33.53,18
20,Huelva,1982,30.54,21
21,Jaén,1982,33.65,23
22,Málaga,1982,29.19,29
23,Sevilla,1982,26.98,41
24,Almería,1986,37.92,04
25,Cádiz,1986,26.45,11
26,Córdoba,1986,29.38,14
27,Granada,1986,34.33,18
28,Huelva,1986,28.21,21
29,Jaén,1986,33.19,23
30,Málaga,1986,29.16,29
31,Sevilla,1986,25.63,41
32,Almería,1989,34.41,04
33,Cádiz,1989,24.34,11
34,Córdoba,1989,24.62,14
35,Granada,1989,32.34,18
36,Huelva,1989,26.05,21
37,Jaén,1989,30.03,23
38,Málaga,1989,26.69,29
39,Sevilla,1989,22.55,41
40,Almería,1993,39.62,04
41,Cádiz,1993,29.64,11
42,Córdoba,1993,29.12,14
43,Granada,1993,36.32,18
44,Huelva,1993,30.77,21
45,Jaén,1993,33.76,23
46,Málaga,1993,33.59,29
47,Sevilla,1993,27.0,41
48,Almería,1996,40.61,04
49,Cádiz,1996,35.85,11
50,Córdoba,1996,33.35,14
51,Granada,1996,38.82,18
52,Huelva,1996,34.23,21
53,Jaén,1996,37.25,23
54,Málaga,1996,39.12,29
55,Sevilla,1996,31.92,41
56,Almería,2000,49.58,04
57,Cádiz,2000,42.54,11
58,Córdoba,2000,41.64,14
59,Granada,2000,43.61,18
60,Huelva,2000,40.8,21
61,Jaén,2000,40.87,23
62,Málaga,2000,45.96,29
63,Sevilla,2000,35.91,41
64,Almería,2004,45.28,04
65,Cádiz,2004,34.59,11
66,Córdoba,2004,34.67,14
67,Granada,2004,38.0,18
68,Huelva,2004,31.26,21
69,Jaén,2004,34.75,23
70,Málaga,2004,37.53,29
71,Sevilla,2004,28.75,41
72,Almería,2008,53.09,04
73,Cádiz,2008,38.9,11
74,Córdoba,2008,38.33,14
75,Granada,2008,41.72,18
76,Huelva,2008,35.64,21
77,Jaén,2008,36.99,23
78,Málaga,2008,43.81,29
79,Sevilla,2008,32.06,41
80,Almería,2011,58.41,04
81,Cádiz,2011,47.72,11
82,Córdoba,2011,45.35,14
83,Granada,2011,47.23,18
84,Huelva,2011,44.57,21
85,Jaén,2011,45.91,23
86,Málaga,2011,50.24,29
87,Sevilla,2011,39.29,41
88,Almería,2015,53.03,04
89,Cádiz,2015,43.1,11
90,Córdoba,2015,42.84,14
91,Granada,2015,45.54,18
92,Huelva,2015,41.21,21
93,Jaén,2015,42.96,23
94,Málaga,2015,46.6,29
95,Sevilla,2015,38.9,41
96,Almería,2016,57.3,04
97,Cádiz,2016,47.42,11
98,Córdoba,2016,47.48,14
99,Granada,2016,49.31,18
100,Huelva,2016,45.64,21
101,Jaén,2016,46.6,23
102,Málaga,2016,51.32,29
103,Sevilla,2016,43.08,41
104,Almería,2019,58.82,04
105,Cádiz,2019,47.71,11
106,Córdoba,2019,47.75,14
107,Granada,2019,49.92,18
108,Huelva,2019,46.8,21
109,Jaén,2019,47.91,23
110,Málaga,2019,51.21,29
111,Sevilla,2019,43.41,41
112,Almería,201911,60.71,04
113,Cádiz,201911,49.11,11
114,Córdoba,201911,49.83,14
115,Granada,201911,50.76,18
116,Huelva,201911,48.72,21
117,Jaén,201911,49.46,23
118,Málaga,201911,52.51,29
119,Sevilla,201911,44.29,41
